"status_id","permalink","post_type","sharetext","headline","link","full_picture","created_time","date","hour","page_total_likes","page_new_likes","post_impressions","post_reach","post_reach_fan_unique","post_reach_viral_unique","comments_on_post","likes_on_post","shares_on_post","total_comments","total_likes","total_shares","comments_on_shares","likes_on_shares","shares_on_shares","link_clicks","photo_view","video_play","other_clicks","post_negative_feedback","post_story_adds","post_stories","post_storytellers","post_consumptions","post_engaged_users","post_engaged_fan","post_video_complete_views_30s_autoplayed","post_video_complete_views_30s_clicked_to_play","post_video_complete_views_30s_organic","post_video_complete_views_30s_paid","post_video_complete_views_30s_unique","post_video_avg_time_watched","post_video_complete_views_organic_unique","post_video_length","post_video_views","post_video_views_autoplayed","post_video_views_clicked_to_play","post_video_views_10s_unique","post_video_views_10s_autoplayed","post_video_views_10s_clicked_to_play","post_video_views_10s_sound_on","post_video_views_sound_on","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40","feed_likes","love","wow","haha","sad","angry","post_source_type","from_name","total_interactions","interaction_rate","ctr","views_rate","viral_fan_rate","share_rate","total_reactions","feed_likes_rate","love_rate","wow_rate","haha_rate","sad_rate","angry_rate","viral_rate","fan_rate","post_image","author","mitu_link","category","sponsored","reposted","original","repost","repost_order","times_repost","days_bet_repost","average_ctr","average_interaction_rate","average_post_reach","average_link_clicks","author_status"
"150424302108405_239836753167159","https://www.facebook.com/150424302108405_239836753167159","link","Ain't nothing 'Fabuloso' about your mom waking you up at 8 a.m. on a Saturday morning so that you can help clean the house.","It's Time To Keep It Real With These 11 Products, And Relabel Them To Reflect What They Actually Do","https://wearemitu.com/bad-hombres/11-product-logos-replaced-with-brutally-honest-labels/","https://scontent.xx.fbcdn.net/v/t45.1600-4/18341084_6087635134726_389580025105481728_n.jpg?oh=35693ec2161fe6d56b86d2021b3ba1f2&oe=5A32C830",2017-05-15 17:03:00,2017-05-15,"17:03",115887,801,1341077,845922,28361,831532,34,381,2299,829,8311,2344,795,7930,45,32331,96,0,8455,48,11484,11484,9791,40882,39658,2431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,10,3,158,0,0,"native","Bad Hombres",11484,0.0135757197472107,0.0382198358713924,0,29.3195585487113,0.204110066179032,363,0.5289,0.0275,0.0083,0.4353,0,0,0.967017989447524,0.0329820105524757,"<img src =' https://scontent.xx.fbcdn.net/v/t45.1600-4/18341084_6087635134726_389580025105481728_n.jpg?oh=35693ec2161fe6d56b86d2021b3ba1f2&oe=5A32C830 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","Jessica Garcia","https://wearemitu.com/bad-hombres/11-product-logos-replaced-with-brutally-honest-labels/","Latino Culture",0,0,1,0,NA,NA,NA,0.0382198358713924,0.0135757197472107,845922,32331,"Jessica Garcia"
"150424302108405_242908236193344","https://www.facebook.com/150424302108405_242908236193344","link","This chambelan life ain't no joke.","11 Things Every Guy Dreads Every Time He's Asked To Be A Chambelan","https://wearemitu.com/bad-hombres/11-things-every-guy-dreaded-every-time-they-were-asked-to-be-a-chambelan/","https://scontent.xx.fbcdn.net/v/t45.1600-4/18507464_6088082050126_619096712262189056_n.png?oh=ad3b1640233ef77a53369de35ba4d940&oe=59F88C7E",2017-05-23 12:00:00,2017-05-23,"12:00",124779,959,839635,507839,23424,500737,29,153,569,905,3054,579,876,2901,10,19208,338,0,6632,12,4538,4538,3847,26178,23950,1619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,4,0,68,0,0,"native","Bad Hombres",4538,0.00893590291411254,0.0378230108361114,0,21.3770918715847,0.127589246364037,140,0.4857,0.0286,0,0.4857,0,0,0.955311440568833,0.0446885594311671,"<img src =' https://scontent.xx.fbcdn.net/v/t45.1600-4/18507464_6088082050126_619096712262189056_n.png?oh=ad3b1640233ef77a53369de35ba4d940&oe=59F88C7E ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","Jessica Garcia","https://wearemitu.com/bad-hombres/11-things-every-guy-dreaded-every-time-they-were-asked-to-be-a-chambelan/","Latino Culture",0,0,1,0,NA,NA,NA,0.0378230108361114,0.00893590291411254,507839,19208,"Jessica Garcia"
"150424302108405_241605472990287","https://www.facebook.com/150424302108405_241605472990287","link","This is too real...","You Know You're Becoming Your Father When You Start Going Through These During Games","https://wearemitu.com/bad-hombres/5-stages-sports-fans-go-through-when-their-team-fcks-up-during-playoffs/","https://scontent.xx.fbcdn.net/v/t45.1600-4/18340894_6087780792526_3884255795574996992_n.png?oh=1715089d7ac32d0692b8b4c1cc9013ab&oe=5A01BA2E",2017-05-22 06:00:00,2017-05-22,"6:00",123851,1931,80190,52439,3028,49557,0,7,4,1,23,5,1,16,1,606,133,0,287,3,29,29,26,1026,940,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,"native","Bad Hombres",29,0.000553023513034192,0.0115562844447835,0,16.366248348745,0.172413793103448,2,1,0,0,0,0,0,0.942417039079585,0.0575829609204146,"<img src =' https://scontent.xx.fbcdn.net/v/t45.1600-4/18340894_6087780792526_3884255795574996992_n.png?oh=1715089d7ac32d0692b8b4c1cc9013ab&oe=5A01BA2E ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","Jason Marcus","https://wearemitu.com/bad-hombres/5-stages-sports-fans-go-through-when-their-team-fcks-up-during-playoffs/","Sports",0,0,1,0,NA,NA,NA,0.0115562844447835,0.000553023513034192,52439,606,"Jason Marcus"
"150424302108405_259874157830085","https://www.facebook.com/150424302108405_259874157830085","link","Do you agree with our list?","Here's A List Of 9 Latino Video Game Characters Who Kick Ass","https://wearemitu.com/bad-hombres/9-of-the-best-latino-characters-to-play-in-fighting-games/","https://scontent.xx.fbcdn.net/v/t45.1600-4/19897034_6069229146891_3771135092961837056_n.jpg?oh=8ca469249f71f14b3ff89d6063c2f44f&oe=59FA2DC2",2017-06-26 10:00:00,2017-06-26,"10:00",159796,719,137438,91772,9768,84808,3,58,23,32,144,25,29,86,2,926,113,0,419,3,201,201,174,1458,1414,361,1,0,1,0,1,0,0,0,5,5,0,1,1,0,1,1,1,0.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,48,2,0,2,0,0,"native","Bad Hombres",201,0.00219021052172776,0.0100902235976115,5.4482848799198e-05,8.68222768222768,0.124378109452736,52,0.9231,0.0385,0,0.0385,0,0,0.896717983420741,0.103282016579259,"<img src =' https://scontent.xx.fbcdn.net/v/t45.1600-4/19897034_6069229146891_3771135092961837056_n.jpg?oh=8ca469249f71f14b3ff89d6063c2f44f&oe=59FA2DC2 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","Jason Marcus","https://wearemitu.com/bad-hombres/9-of-the-best-latino-characters-to-play-in-fighting-games/","Other",0,0,1,0,NA,NA,NA,0.0100902235976115,0.00219021052172776,91772,926,"Jason Marcus"
"150424302108405_267028387114662","https://www.facebook.com/150424302108405_267028387114662","link","GGG even tried singing in Spanish.","Canelo, Triple G and Oscar De La Hoya Are Hyping Up Their Fight So Mayweather Vs. McGregor Doesn't Steal Their Thunder","https://wearemitu.com/bad-hombres/canelo-and-triple-g-are-already-hyping-up-their-fight-on-tv-and-radio/","https://external.xx.fbcdn.net/safe_image.php?d=AQDuhLCpzwA5WsPI&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2F2017%2F06%2F26150515%2Fggg-hat.jpg&_nc_hash=AQDnnGAutUKuEnBN",2017-07-10 10:00:00,2017-07-10,"10:00",165876,334,249863,173413,15090,160594,16,127,45,87,495,49,71,368,4,3294,116,0,1290,9,631,631,568,4700,4451,692,3,0,3,0,3,0,1,0,8,8,0,6,6,0,1,1,0.875,1,1,1,0.75,0.75,0.75,0.75,0.625,0.5,0.5,0.5,0.375,0.375,0.375,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,87,6,0,31,0,0,"native","Bad Hombres",631,0.00363871220727396,0.0189951157064349,4.61326428814449e-05,10.6424121935056,0.0776545166402536,124,0.7016,0.0484,0,0.25,0,0,0.914107146922884,0.0858928530771157,"<img src =' https://external.xx.fbcdn.net/safe_image.php?d=AQDuhLCpzwA5WsPI&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2F2017%2F06%2F26150515%2Fggg-hat.jpg&_nc_hash=AQDnnGAutUKuEnBN ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","Omar Villegas","https://wearemitu.com/bad-hombres/canelo-and-triple-g-are-already-hyping-up-their-fight-on-tv-and-radio/","Sports",0,0,1,0,NA,NA,NA,0.0189951157064349,0.00363871220727396,173413,3294,"Omar Villegas"
"150424302108405_240237703127064","https://www.facebook.com/150424302108405_240237703127064","link","He gives pretty good advice TBH.","This Puerto Rican Comedian Who Didn't Originally Listen To Dave Chappelle's Advice To Do Comedy, Just Got His Own TV Show","https://wearemitu.com/bad-hombres/cipha-sounds-was-on-desus-and-mero-to-talk-about-his-new-show-and-how-jay-z-lowkey-disses-him-on-the-regs/","https://scontent.xx.fbcdn.net/v/t45.1600-4/18341166_6087644187126_2366514786683846656_n.jpg?oh=e34aa96a46c361ce7a495ae4b76ff0c5&oe=59F0E5CD",2017-05-16 17:00:00,2017-05-16,"17:00",116876,1022,87397,56060,3028,54029,0,10,4,0,41,4,0,31,0,392,151,0,344,3,45,45,42,887,823,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,0,0,"native","Bad Hombres",45,0.000802711380663575,0.00699250802711381,0,17.8431307793923,0.0888888888888889,8,1,0,0,0,0,0,0.946930262719736,0.0530697372802636,"<img src =' https://scontent.xx.fbcdn.net/v/t45.1600-4/18341166_6087644187126_2366514786683846656_n.jpg?oh=e34aa96a46c361ce7a495ae4b76ff0c5&oe=59F0E5CD ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","Andrew Santiago","https://wearemitu.com/bad-hombres/cipha-sounds-was-on-desus-and-mero-to-talk-about-his-new-show-and-how-jay-z-lowkey-disses-him-on-the-regs/","Identities",0,0,1,0,NA,NA,NA,0.00699250802711381,0.000802711380663575,56060,392,"Andrew Santiago"
"150424302108405_240196983131136","https://www.facebook.com/150424302108405_240196983131136","link","This is Papi's freakin memoir!","This Retired Boston Red Sox Player Hits As Hard As Ever In His Expletive-Filled Memoir","https://wearemitu.com/bad-hombres/david-ortizs-memoir-hits-as-hard-as-his-bat-swing/","https://scontent.xx.fbcdn.net/v/t45.1600-4/18219635_6087642250126_3176264208157245440_n.jpg?oh=690dfc7729e7f1ea72f84f4ecf067934&oe=5A3597CC",2017-05-16 23:00:00,2017-05-16,"23:00",116876,1022,91150,60914,2921,58400,1,20,8,6,94,11,5,74,3,236,310,0,334,3,111,111,101,880,817,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,1,0,0,0,0,"native","Bad Hombres",111,0.0018222411925009,0.0038743146074794,0,19.9931530297843,0.0990990990990991,16,0.9375,0.0625,0,0,0,0,0.952365421307546,0.0476345786924545,"<img src =' https://scontent.xx.fbcdn.net/v/t45.1600-4/18219635_6087642250126_3176264208157245440_n.jpg?oh=690dfc7729e7f1ea72f84f4ecf067934&oe=5A3597CC ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","Jason Marcus","https://wearemitu.com/bad-hombres/david-ortizs-memoir-hits-as-hard-as-his-bat-swing/","Sports",0,0,1,0,NA,NA,NA,0.0038743146074794,0.0018222411925009,60914,236,"Jason Marcus"
"150424302108405_238507409966760","https://www.facebook.com/150424302108405_238507409966760","link","They offered him a role he could not refuse.","This Latino Actor's Star Continues To Rise Thanks To Roles Like This","https://wearemitu.com/bad-hombres/demian-bichir-steps-out-of-his-comfort-zone-for-alien-covenant/","https://scontent.xx.fbcdn.net/v/t45.1600-4/18341110_6087481659526_3469137753193578496_n.jpg?oh=304c8dfd2c640c38812e647bf57829a5&oe=5A01A035",2017-05-15 08:00:00,2017-05-15,"8:00",115887,801,222297,146719,6292,143686,1,54,31,10,508,32,9,454,1,2241,49,0,774,4,550,550,526,3064,3250,278,3,0,3,0,3,0,3,0,8,8,0,6,6,0,3,3,0.875,1,1,1,1,1,1,0.875,0.875,0.875,0.875,0.75,0.75,0.75,0.75,0.75,0.625,0.625,0.5,0.375,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,2,0,0,0,0,"native","Bad Hombres",550,0.00374866240909494,0.0152740953796032,5.45259986777445e-05,22.8363000635728,0.0581818181818182,47,0.9574,0.0426,0,0,0,0,0.958047180253104,0.0419528197468962,"<img src =' https://scontent.xx.fbcdn.net/v/t45.1600-4/18341110_6087481659526_3469137753193578496_n.jpg?oh=304c8dfd2c640c38812e647bf57829a5&oe=5A01A035 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","Jason Marcus","https://wearemitu.com/bad-hombres/demian-bichir-steps-out-of-his-comfort-zone-for-alien-covenant/","TV & Movies",0,0,1,0,NA,NA,NA,0.0152740953796032,0.00374866240909494,146719,2241,"Jason Marcus"
"150424302108405_254220628395438","https://www.facebook.com/150424302108405_254220628395438","link","I love my sneakers, but idk if I would do this.","Only Sneakerheads Will Understand Why Fat Joe Recently Licked The Bottom Of DJ Khaled's Sneaker","https://wearemitu.com/bad-hombres/fat-joe-shows-love-to-dj-khaled-by-licking-the-bottom-of-his-shoes/","https://scontent.xx.fbcdn.net/v/t45.1600-4/19115740_6089623004526_1272947067227996160_n.png?oh=5786353ef82fb27dabd11db4837eb825&oe=5A34F2F9",2017-06-15 10:00:00,2017-06-15,"10:00",148550,1236,59804,39354,3521,35632,5,25,15,20,79,15,15,54,0,392,320,0,643,2,114,114,98,1355,1122,157,2,1,3,0,3,0,2,0,6,5,1,3,2,1,2,3,1,1,1,1,0.8333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3333,0.3333,0.3333,0.3333,0.3333,0.1667,16,6,0,1,0,0,"native","Bad Hombres",114,0.00289678304619607,0.00996086801849875,0.000152462265589267,10.1198523146833,0.131578947368421,23,0.6957,0.2609,0,0.0435,0,0,0.910070748090823,0.0899292519091768,"<img src =' https://scontent.xx.fbcdn.net/v/t45.1600-4/19115740_6089623004526_1272947067227996160_n.png?oh=5786353ef82fb27dabd11db4837eb825&oe=5A34F2F9 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","Andrew Santiago","https://wearemitu.com/bad-hombres/fat-joe-shows-love-to-dj-khaled-by-licking-the-bottom-of-his-shoes/","Other",0,0,1,0,NA,NA,NA,0.00996086801849875,0.00289678304619607,39354,392,"Andrew Santiago"
"150424302108405_240731053077729","https://www.facebook.com/150424302108405_240731053077729","link","These are gold.","These Graduation Caps Will Either Have You Clapping Your Hands In Pride, Or Cracking Up In Laughter","https://wearemitu.com/bad-hombres/from-completely-unapologetic-to-funny-af-these-2017-grad-caps-are-goals/","https://scontent.xx.fbcdn.net/v/t45.1600-4/18341156_6087780674326_6844773153525202944_n.jpg?oh=22f5e44d3544158105f2d27037301749&oe=5A38E54F",2017-05-19 12:00:00,2017-05-19,"12:00",119325,767,1251791,766242,29735,759762,10,418,1030,411,9988,1054,401,9570,24,34432,273,0,7090,32,11453,11453,10826,41795,42509,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,45,1,55,0,0,"native","Bad Hombres",11453,0.014946974976574,0.0449361950924121,0,25.5511013956617,0.0920282895311272,397,0.7456,0.1134,0.0025,0.1385,0,0,0.962336778987127,0.0376632210128728,"<img src =' https://scontent.xx.fbcdn.net/v/t45.1600-4/18341156_6087780674326_6844773153525202944_n.jpg?oh=22f5e44d3544158105f2d27037301749&oe=5A38E54F ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","Jessica Garcia","https://wearemitu.com/bad-hombres/from-completely-unapologetic-to-funny-af-these-2017-grad-caps-are-goals/","Latino Culture",0,0,1,0,NA,NA,NA,0.0449361950924121,0.014946974976574,766242,34432,"Jessica Garcia"
