"status_id","permalink","post_type","sharetext","headline","link","full_picture","created_time","date","hour","page_total_likes","page_new_likes","post_impressions","post_reach","post_reach_fan_unique","post_reach_viral_unique","comments_on_post","likes_on_post","shares_on_post","total_comments","total_likes","total_shares","comments_on_shares","likes_on_shares","shares_on_shares","link_clicks","photo_view","video_play","other_clicks","post_negative_feedback","post_story_adds","post_stories","post_storytellers","post_consumptions","post_engaged_users","post_engaged_fan","post_video_complete_views_30s_autoplayed","post_video_complete_views_30s_clicked_to_play","post_video_complete_views_30s_organic","post_video_complete_views_30s_paid","post_video_complete_views_30s_unique","post_video_avg_time_watched","post_video_complete_views_organic_unique","post_video_length","post_video_views","post_video_views_autoplayed","post_video_views_clicked_to_play","post_video_views_10s_unique","post_video_views_10s_autoplayed","post_video_views_10s_clicked_to_play","post_video_views_10s_sound_on","post_video_views_sound_on","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40","feed_likes","love","wow","haha","sad","angry","post_source_type","from_name","total_interactions","interaction_rate","ctr","views_rate","viral_fan_rate","share_rate","total_reactions","feed_likes_rate","love_rate","wow_rate","haha_rate","sad_rate","angry_rate","viral_rate","fan_rate","post_image","image_text_py","reposted","original","repost","repost_order","times_repost","days_bet_repost","average_share_rate","average_interaction_rate","average_post_reach","average_viral_fan_rate"
"150424302108405_178797875937714","https://www.facebook.com/150424302108405_178797875937714","photo","150424302108405_178797875937714","Bad Hombres's cover photo","https://www.facebook.com/WeAreBadHombres/photos/a.150426078774894.1073741827.150424302108405/178797875937714/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/q89/s720x720/16298423_178797875937714_6612088048993407639_n.jpg?oh=7b8d40094ccf1967af6f2e3c3c64d325&oe=59FE414F",2017-01-30 10:08:00,2017-01-30,"10:08",127,0,29,21,13,8,0,17,1,0,19,1,0,2,0,0,183,0,0,0,20,20,20,183,117,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1,0,0,0,0,"native","Bad Hombres",20,0.952380952380952,0,0,0.615384615384615,0.05,17,0.9412,0.0588,0,0,0,0,0.380952380952381,0.619047619047619,"<img src =' https://scontent.xx.fbcdn.net/v/t1.0-9/q89/s720x720/16298423_178797875937714_6612088048993407639_n.jpg?oh=7b8d40094ccf1967af6f2e3c3c64d325&oe=59FE414F ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","",0,1,0,NA,NA,NA,0.109388185654008,0.542243987896162,907.5,9.2055417700579
"150424302108405_187346255082876","https://www.facebook.com/150424302108405_187346255082876","photo","""Papi knows what's up.""","Timeline Photos","https://www.facebook.com/WeAreBadHombres/photos/a.179597812524387.1073741828.150424302108405/187346255082876/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/16708597_187346255082876_5063289357231134500_n.jpg?oh=079aea26dfc0bad5404f57c8087ea8d4&oe=59F54219",2017-02-13 14:00:00,2017-02-13,"14:00",274,5,2786,1794,93,1655,10,125,37,18,179,40,8,54,3,0,490,0,26,1,237,237,223,516,619,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,17,0,17,0,0,"native","Bad Hombres",237,0.132107023411371,0,0,17.7956989247312,0.168776371308017,118,0.7119,0.1441,0,0.1441,0,0,0.946796338672769,0.0532036613272311,"<img src =' https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/16708597_187346255082876_5063289357231134500_n.jpg?oh=079aea26dfc0bad5404f57c8087ea8d4&oe=59F54219 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","",0,1,0,NA,NA,NA,0.109388185654008,0.542243987896162,907.5,9.2055417700579
"150424302108405_187352588415576","https://www.facebook.com/150424302108405_187352588415576","photo","""Tough love is still love.""","Timeline Photos","https://www.facebook.com/WeAreBadHombres/photos/a.179597812524387.1073741828.150424302108405/187352588415576/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/16711878_187352588415576_6727591624696123010_n.jpg?oh=970c9bd3c8abbd435bf571c9b61475f0&oe=5A062627",2017-02-17 14:00:00,2017-02-17,"14:00",4549,1947,139368,96887,697,96672,30,259,220,134,1978,232,104,1719,12,7,1719,0,749,4,2344,2344,2170,2475,3927,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,4,0,80,1,0,"native","Bad Hombres",2344,0.0241931322055591,7.22491149483419e-05,0,138.697274031564,0.0989761092150171,247,0.6559,0.0162,0,0.3239,0.004,0,0.992841664184699,0.00715833581530056,"<img src =' https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/16711878_187352588415576_6727591624696123010_n.jpg?oh=970c9bd3c8abbd435bf571c9b61475f0&oe=5A062627 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","**when I hurt myself**
other moms: are u ok?
my mom:
HAHAHAHA
QUÉ PENDEJO!",0,1,0,NA,NA,NA,0.0989761092150171,0.0241931322055591,96887,138.697274031564
"150424302108405_226968001120701","https://www.facebook.com/150424302108405_226968001120701","photo","The best kind of rolling.","Timeline Photos","https://www.facebook.com/WeAreBadHombres/photos/a.179597812524387.1073741828.150424302108405/226968001120701/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18033513_226968001120701_4853038158147313730_n.jpg?oh=49ba5c4dc6c76c9d43d5f05745034ff2&oe=5A371864",2017-04-20 11:00:00,2017-04-20,"11:00",87796,1627,248886,159982,22190,130451,101,1068,913,401,4284,952,300,3216,39,6,2911,0,2153,6,5637,5637,4775,5070,8064,1811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,692,51,2,299,0,2,"native","Bad Hombres",5637,0.0352352139615707,3.75042192246628e-05,0,5.87881928796755,0.168884158240199,1046,0.6616,0.0488,0.0019,0.2859,0,0.0019,0.854626214450901,0.145373785549099,"<img src =' https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18033513_226968001120701_4853038158147313730_n.jpg?oh=49ba5c4dc6c76c9d43d5f05745034ff2&oe=5A371864 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","420 rolling",0,1,0,NA,NA,NA,0.168884158240199,0.0352352139615707,159982,5.87881928796755
"150424302108405_244186599398841","https://www.facebook.com/150424302108405_244186599398841","photo","I'm living.","Timeline Photos","https://www.facebook.com/WeAreBadHombres/photos/a.179597812524387.1073741828.150424302108405/244186599398841/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18671055_244186599398841_6117123033571972326_n.jpg?oh=df20d0ee22a4887c4a7e4757a2a8a21d&oe=5A34DA5D",2017-05-25 15:00:00,2017-05-25,"15:00",128474,3104,392967,269811,14912,255983,37,339,340,328,3371,360,291,3032,20,79,2245,0,2681,25,4059,4059,3690,5005,7153,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,4,2,98,2,1,"native","Bad Hombres",4059,0.01504386403816,0.000292797550878207,0,17.1662419527897,0.0886917960088692,251,0.5737,0.0159,0.008,0.3904,0.008,0.004,0.944952841506857,0.0550471584931431,"<img src =' https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18671055_244186599398841_6117123033571972326_n.jpg?oh=df20d0ee22a4887c4a7e4757a2a8a21d&oe=5A34DA5D ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","baseball stadiums are now selling taco
dogs like the ones I used to make when
we didn't have buns at home",0,1,0,NA,NA,NA,0.0886917960088692,0.01504386403816,269811,17.1662419527897
"150424302108405_234877306996437","https://www.facebook.com/150424302108405_234877306996437","photo","He’s always there to give you a hand.","Timeline Photos","https://www.facebook.com/WeAreBadHombres/photos/a.179597812524387.1073741828.150424302108405/234877306996437/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18268658_234877306996437_4188528281345015080_n.jpg?oh=662cba590764bb6482ae3e54fd1cbf1e&oe=59FFC133",2017-05-05 11:00:00,2017-05-05,"11:00",106942,724,3277089,1948232,38102,1940563,2104,1878,7209,12779,39976,7417,10675,38098,208,124,38773,0,36426,118,60172,60172,51140,75323,95438,3873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1208,84,0,509,3,0,"native","Bad Hombres",60172,0.0308854386951862,6.36474506116315e-05,0,50.9307385439085,0.123263311839394,1804,0.6696,0.0466,0,0.2822,0.0017,0,0.980743582162721,0.0192564178372792,"<img src =' https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18268658_234877306996437_4188528281345015080_n.jpg?oh=662cba590764bb6482ae3e54fd1cbf1e&oe=59FFC133 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","compadre goals

 

w I1@!Â£",0,1,0,NA,NA,NA,0.123263311839394,0.0308854386951862,1948232,50.9307385439085
"150424302108405_238433176640850","https://www.facebook.com/150424302108405_238433176640850","photo","Why do all dads watch tv like this??","Timeline Photos","https://www.facebook.com/WeAreBadHombres/photos/a.179597812524387.1073741828.150424302108405/238433176640850/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18342807_238433176640850_2560712410527700644_n.jpg?oh=542d0881c95ed84df372711d0f4aec80&oe=5A354B27",2017-05-12 13:00:00,2017-05-12,"13:00",113566,1268,793476,525152,20067,503318,104,521,912,758,10955,953,654,10434,41,176,4549,0,4998,34,12666,12666,12105,9723,18268,1436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257,10,0,177,0,0,"native","Bad Hombres",12666,0.0241187313387362,0.000335141063920541,0,25.0818757163502,0.0752408021474815,444,0.5788,0.0225,0,0.3986,0,0,0.961659199251029,0.0383408007489706,"<img src =' https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18342807_238433176640850_2560712410527700644_n.jpg?oh=542d0881c95ed84df372711d0f4aec80&oe=5A354B27 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","dads know sh*t's going down when
they're watching noticiero univision
standing up",0,1,0,NA,NA,NA,0.0752408021474815,0.0241187313387362,525152,25.0818757163502
"150424302108405_246540335830134","https://www.facebook.com/150424302108405_246540335830134","photo","I can disappear one pound burrito in few minutes. :joy:","Timeline Photos","https://www.facebook.com/WeAreBadHombres/photos/a.179597812524387.1073741828.150424302108405/246540335830134/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18813842_246540335830134_8097527901671600656_n.jpg?oh=c7fb723d672d109fbef87031fdbfd923&oe=5A31D105",2017-05-30 15:00:00,2017-05-30,"15:00",132480,389,324916,221196,12482,200842,107,260,351,470,1470,367,363,1210,16,121,2857,0,1544,19,2307,2307,2003,4522,5326,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,11,0,78,0,0,"native","Bad Hombres",2307,0.0104296641892258,0.00054702616683846,0,16.0905303637238,0.159081057650629,258,0.655,0.0426,0,0.3023,0,0,0.941488065102848,0.0585119348971518,"<img src =' https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18813842_246540335830134_8097527901671600656_n.jpg?oh=c7fb723d672d109fbef87031fdbfd923&oe=5A31D105 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","do you know a magic trick?
me:",0,1,0,NA,NA,NA,0.159081057650629,0.0104296641892258,221196,16.0905303637238
"150424302108405_237914913359343","https://www.facebook.com/150424302108405_237914913359343","photo","And the cruda is only worse.","Timeline Photos","https://www.facebook.com/WeAreBadHombres/photos/a.179597812524387.1073741828.150424302108405/237914913359343/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18341978_237914913359343_6393051664086854996_n.jpg?oh=09202ca916569f2c534e4ebf193063fa&oe=59F7F740",2017-05-11 12:00:00,2017-05-11,"12:00",112345,1349,1868119,1135639,26642,1114800,459,1117,4465,4469,32214,4563,4010,31097,98,174,16605,0,16766,84,41246,41246,36216,33545,53909,2542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,19,2,272,11,0,"native","Bad Hombres",41246,0.0363196403082318,0.000153217703865401,0,41.8437054275205,0.110628909470009,1054,0.7116,0.018,0.0019,0.2581,0.0104,0,0.976659348438204,0.0233406515617964,"<img src =' https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18341978_237914913359343_6393051664086854996_n.jpg?oh=09202ca916569f2c534e4ebf193063fa&oe=59F7F740 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","drinking at 21 vs drinking 27",0,1,0,NA,NA,NA,0.110628909470009,0.0363196403082318,1135639,41.8437054275205
"150424302108405_212639152553586","https://www.facebook.com/150424302108405_212639152553586","photo","Girl, why you always lyin'?","Timeline Photos","https://www.facebook.com/WeAreBadHombres/photos/a.179597812524387.1073741828.150424302108405/212639152553586/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/17457327_212639152553586_4487650423866647285_n.jpg?oh=96ad4151f14b0f93ac10d2a6f7f77734&oe=5A2FD9E6",2017-03-31 11:00:00,2017-03-31,"11:00",51611,2384,44388,30715,2723,27549,19,172,89,58,419,96,39,247,7,3,1011,0,181,3,573,573,517,1195,1480,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,3,1,55,1,0,"native","Bad Hombres",573,0.0186553801074394,9.76721471593684e-05,0,10.1171502019831,0.167539267015707,156,0.6154,0.0192,0.0064,0.3526,0.0064,0,0.910048890063425,0.0899511099365751,"<img src =' https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/17457327_212639152553586_4487650423866647285_n.jpg?oh=96ad4151f14b0f93ac10d2a6f7f77734&oe=5A2FD9E6 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","every guy knows this is the official
'no estoy enojada face'",0,1,0,NA,NA,NA,0.167539267015707,0.0186553801074394,30715,10.1171502019831
