"status_id","permalink","post_type","sharetext","headline","link","full_picture","created_time","date","hour","page_total_likes","page_new_likes","post_impressions","post_reach","post_reach_fan_unique","post_reach_viral_unique","comments_on_post","likes_on_post","shares_on_post","total_comments","total_likes","total_shares","comments_on_shares","likes_on_shares","shares_on_shares","link_clicks","photo_view","video_play","other_clicks","post_negative_feedback","post_story_adds","post_stories","post_storytellers","post_consumptions","post_engaged_users","post_engaged_fan","post_video_complete_views_30s_autoplayed","post_video_complete_views_30s_clicked_to_play","post_video_complete_views_30s_organic","post_video_complete_views_30s_paid","post_video_complete_views_30s_unique","post_video_avg_time_watched","post_video_complete_views_organic_unique","post_video_length","post_video_views","post_video_views_autoplayed","post_video_views_clicked_to_play","post_video_views_10s_unique","post_video_views_10s_autoplayed","post_video_views_10s_clicked_to_play","post_video_views_10s_sound_on","post_video_views_sound_on","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40","feed_likes","love","wow","haha","sad","angry","post_source_type","from_name","total_interactions","interaction_rate","ctr","views_rate","viral_fan_rate","share_rate","total_reactions","feed_likes_rate","love_rate","wow_rate","haha_rate","sad_rate","angry_rate","viral_rate","fan_rate","post_image","video_repost_sharetext","video_meme","series","category","format","sponsored","reposted","original","repost","repost_order","times_repost","days_bet_repost","average_views_rate","average_interaction_rate","average_post_reach","average_video_views","average_viral_fan_rate"
"150424302108405_256444434839724","https://www.facebook.com/150424302108405_256444434839724","video","""Belt buckle con Alacran Compadre!"" (Check out the new special on Netflix!)","150424302108405_256444434839724","https://www.facebook.com/WeAreBadHombres/videos/256444434839724/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/19340230_256444941506340_6611186941905862656_n.jpg?oh=c924ad07603b8ab0b14c3ae060686ecf&oe=5A0095CE",2017-06-19 11:00:00,2017-06-19,"11:00",153053,491,6085036,3020387,89645,2543964,2382,8902,10570,6562,26121,10783,4180,17219,213,134,230,31977,229784,258,43466,43466,33324,262125,206515,11421,240676,19423,260099,0,251917,11837,98601,101395,856749,830592,26157,381847,362537,22250,242746,306251,0.8455,1,0.6374,0.5073,0.448,0.4025,0.3803,0.3679,0.3591,0.3459,0.3354,0.3162,0.3064,0.2998,0.2935,0.2888,0.2847,0.2802,0.275,0.2658,0.2607,0.2568,0.2522,0.2461,0.2411,0.2368,0.2339,0.2299,0.2243,0.2194,0.2145,0.2106,0.2059,0.1869,0.1724,0.1599,0.1498,0.1364,0.1194,0.0858,0.0554,3895,195,15,3547,0,2,"native","Bad Hombres",43466,0.0143908711036036,4.43651757208596e-05,0.283655372639334,28.3782029114842,0.248078958266231,7654,0.5089,0.0255,0.002,0.4634,0,3e-04,0.965961158243308,0.034038841756692,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/19340230_256444941506340_6611186941905862656_n.jpg?oh=c924ad07603b8ab0b14c3ae060686ecf&oe=5A0095CE ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","""Belt buckle con Alacran Compadre!"" (Check out the new special on Netflix!)",0,NA,"Latino Culture","Square",0,0,1,0,NA,NA,NA,0.283655372639334,0.0143908711036036,3020387,856749,28.3782029114842
"150424302108405_220238001793701","https://www.facebook.com/150424302108405_220238001793701","video","""This would definitely snap me out of a hangover.""","150424302108405_220238001793701","https://www.facebook.com/WeAreBadHombres/videos/220238001793701/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17883294_220240365126798_3053894413731233792_n.jpg?oh=a0206fccb6179828e48bbd943a2ab19d&oe=5A019647",2017-04-09 16:00:00,2017-04-09,"16:00",62012,405,32394760,15081011,100310,9215418,11144,46184,47852,43813,139289,49227,32669,93105,1375,740,3424,655783,2141430,1382,232329,232329,177785,2801377,2057222,27679,1944712,535269,2479981,0,2405451,21504,1079824,108990,5244277,4601116,643161,3222974,2682000,595433,2625529,3085973,0.8559,1,0.7593,0.6609,0.6157,0.5813,0.5471,0.5259,0.5082,0.4976,0.4893,0.4797,0.4722,0.4623,0.4536,0.4499,0.4401,0.4309,0.4221,0.4162,0.4134,0.4101,0.4001,0.3915,0.3803,0.3728,0.3635,0.351,0.3398,0.3297,0.3208,0.31,0.2831,0.2622,0.2522,0.2426,0.2307,0.2242,0.2149,0.1974,0.1146,17689,1270,84,13681,8,33,"native","Bad Hombres",232329,0.0154053995451631,4.90683283766586e-05,0.347740413424538,91.869384906789,0.211884870162571,32765,0.5399,0.0388,0.0026,0.4175,2e-04,0.001,0.989232188831619,0.010767811168381,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17883294_220240365126798_3053894413731233792_n.jpg?oh=a0206fccb6179828e48bbd943a2ab19d&oe=5A019647 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","""This would definitely snap me out of a hangover.""",0,NA,"Food & Beverages","Square",0,1,1,0,0,1,0,0.291068461717126,0.0120619054471917,8606869.5,2872090.5,55.3982939613961
"150424302108405_251526881998146","https://www.facebook.com/150424302108405_251526881998146","video","""This would definitely snap me out of a hangover.""","150424302108405_251526881998146","https://www.facebook.com/WeAreBadHombres/videos/251526881998146/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17883294_220240365126798_3053894413731233792_n.jpg?oh=a0206fccb6179828e48bbd943a2ab19d&oe=5A019647",2017-06-11 11:00:00,2017-06-11,"11:00",142599,3026,4854262,2132728,77984,1476019,994,4022,3342,3597,11559,3438,2603,7537,96,101,180,35612,201938,193,18594,18594,15346,237831,177113,8765,170873,27723,198596,0,184428,14008,80406,108990,499904,466611,33293,253441,242238,30751,202732,236511,0.8504,1,0.6963,0.5878,0.5383,0.5025,0.4689,0.4482,0.4313,0.4212,0.4131,0.4043,0.3971,0.3884,0.3811,0.3776,0.3688,0.3607,0.353,0.3474,0.3444,0.341,0.3321,0.3245,0.3136,0.3065,0.2983,0.2872,0.2782,0.2696,0.2616,0.2526,0.2308,0.2133,0.2048,0.1968,0.187,0.1814,0.1738,0.1604,0.0941,1940,145,8,1650,1,2,"native","Bad Hombres",18594,0.00871841134922034,4.73571876019821e-05,0.234396510009715,18.9272030160033,0.184898354307841,3746,0.5179,0.0387,0.0021,0.4405,3e-04,5e-04,0.949817342694963,0.0501826573050374,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17883294_220240365126798_3053894413731233792_n.jpg?oh=a0206fccb6179828e48bbd943a2ab19d&oe=5A019647 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","""This would definitely snap me out of a hangover.""",0,NA,"Food & Beverages","Square",0,1,0,1,1,1,63,0.291068461717126,0.0120619054471917,8606869.5,2872090.5,55.3982939613961
"150424302108405_223680684782766","https://www.facebook.com/150424302108405_223680684782766","video","#BallinOnABudget","150424302108405_223680684782766","https://www.facebook.com/WeAreBadHombres/videos/223680684782766/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17950882_223680704782764_8064626908781871104_n.jpg?oh=3eaa30c08d5254414722649e17b25cf6&oe=59FC65BB",2017-04-16 11:00:00,2017-04-16,"11:00",84108,559,1241507,772323,22846,709768,28,244,34,53,559,34,25,315,0,89,31,5010,23224,60,646,646,577,28354,23243,1830,25947,2660,28533,74,28044,9097,5725,237779,144287,140061,4226,46681,43491,3190,24488,39343,1,0.547,0.3456,0.2862,0.2546,0.2361,0.2234,0.2137,0.2019,0.1934,0.1824,0.1755,0.1668,0.1609,0.1567,0.1544,0.1519,0.1503,0.147,0.1445,0.1413,0.136,0.1341,0.1337,0.1333,0.1306,0.1304,0.1291,0.1253,0.1213,0.1162,0.1125,0.112,0.1102,0.1061,0.0935,0.0839,0.0695,0.0491,0.044,0.0272,182,5,0,47,0,0,"native","Bad Hombres",646,0.000836437604473776,0.000115236759749483,0.186822093864873,31.0674954040095,0.0526315789473684,234,0.7778,0.0214,0,0.2009,0,0,0.968815774746319,0.0311842252536807,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17950882_223680704782764_8064626908781871104_n.jpg?oh=3eaa30c08d5254414722649e17b25cf6&oe=59FC65BB ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","#BallinOnABudget",0,NA,"Beauty & Fashion","Square",0,0,1,0,NA,NA,NA,0.186822093864873,0.000836437604473776,772323,144287,31.0674954040095
"150424302108405_212165085934326","https://www.facebook.com/150424302108405_212165085934326","video","A cop, playing soccer?!","150424302108405_212165085934326","https://www.facebook.com/WeAreBadHombres/videos/212165085934326/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17584819_212165105934324_5633054036262387712_n.jpg?oh=90dcdc1391c3a8aa74b6917e21f4ec2b&oe=59F4907B",2017-03-29 16:00:00,2017-03-29,"16:00",46969,134,9479385,5974446,50143,2482956,857,13978,10253,2242,32731,10431,1385,18753,178,191,542,97159,246579,176,45404,45404,39693,344471,310829,8111,1061643,65402,1126920,125,1091241,27273,572127,85502,1952064,1866640,85424,1436209,1392159,74913,1053794,1285224,0.8518,1,0.8821,0.7927,0.7636,0.7394,0.6864,0.6648,0.6552,0.6512,0.6307,0.6076,0.5895,0.5836,0.5797,0.5751,0.539,0.5217,0.5178,0.516,0.5034,0.4765,0.47,0.4632,0.4523,0.4348,0.4285,0.4251,0.4223,0.401,0.3922,0.3898,0.3884,0.3877,0.3862,0.379,0.3607,0.3316,0.2971,0.2603,0.0809,6830,464,13,2305,4,0,"native","Bad Hombres",45404,0.00759970045758218,3.1969491397194e-05,0.326735566778911,49.5174999501426,0.229737468064488,9616,0.7103,0.0483,0.0014,0.2397,4e-04,0,0.980204879477667,0.0197951205223325,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17584819_212165105934324_5633054036262387712_n.jpg?oh=90dcdc1391c3a8aa74b6917e21f4ec2b&oe=59F4907B ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","A cop, playing soccer?!",0,"Pranks","Sports","Square",0,1,1,0,0,1,0,0.312558227436211,0.00862407025252259,3577577.5,1152182.5,34.2879815731318
"150424302108405_258449131305921","https://www.facebook.com/150424302108405_258449131305921","video","A cop, playing soccer?!","150424302108405_258449131305921","https://www.facebook.com/WeAreBadHombres/videos/258449131305921/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/19491037_258449894639178_4451840847637381120_n.jpg?oh=57fc504ee4b6b774d86af0d80f043835&oe=59F793FA",2017-06-24 11:00:00,2017-06-24,"11:00",158394,762,1904526,1180709,50117,955153,170,2480,2181,532,8643,2217,362,6163,36,121,51,9672,56404,71,11392,11392,9800,66248,59783,4127,144044,5834,149878,0,147842,15617,69920,85502,352301,344253,8048,216990,214648,6782,92516,117467,0.8273,1,0.8178,0.6905,0.6466,0.612,0.5485,0.521,0.5079,0.5021,0.4822,0.4603,0.4414,0.434,0.4289,0.4239,0.3936,0.3768,0.3721,0.3699,0.3592,0.3359,0.3289,0.323,0.3135,0.2982,0.2919,0.2882,0.2856,0.2722,0.2657,0.263,0.2613,0.2604,0.2591,0.2536,0.2402,0.2211,0.2004,0.1789,0.0684,1450,143,2,717,0,0,"native","Bad Hombres",11392,0.00964844004746301,0.00010248079755469,0.29838088809351,19.0584631961211,0.194610252808989,2312,0.6272,0.0619,9e-04,0.3101,0,0,0.9501457319924,0.0498542680075999,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/19491037_258449894639178_4451840847637381120_n.jpg?oh=57fc504ee4b6b774d86af0d80f043835&oe=59F793FA ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","A cop, playing soccer?!",0,"Pranks","Sports","Square",0,1,0,1,1,1,87,0.312558227436211,0.00862407025252259,3577577.5,1152182.5,34.2879815731318
"150424302108405_206228923194609","https://www.facebook.com/150424302108405_206228923194609","video","A well balanced diet","150424302108405_206228923194609","https://www.facebook.com/WeAreBadHombres/videos/206228923194609/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17391265_206228936527941_7690667056961683456_n.jpg?oh=761843e24f469d6f09dab3c830c6d910&oe=5A0219AC",2017-03-19 16:00:00,2017-03-19,"16:00",38337,970,1639509,991678,15963,977068,672,712,2364,6542,7731,2448,5870,7019,84,252,217,20104,71408,58,16721,16721,12561,91981,66955,3150,40988,4148,45112,24,44671,6953,45616,21161,332091,311858,20233,199240,187428,18371,56777,67309,0.8183,1,0.9974,0.9928,0.9605,0.9246,0.9014,0.838,0.784,0.7363,0.6863,0.6376,0.5889,0.5375,0.4913,0.4421,0.3963,0.3586,0.3187,0.2986,0.2352,0.1877,0.1578,0.1366,0.1035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,123,8,46,5,2,"native","Bad Hombres",16721,0.0168613199042431,0.000254114742890333,0.3348778534968,61.2082941802919,0.146402727109623,684,0.731,0.1798,0.0117,0.0673,0.0073,0.0029,0.983924973137797,0.0160750268622027,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17391265_206228936527941_7690667056961683456_n.jpg?oh=761843e24f469d6f09dab3c830c6d910&oe=5A0219AC ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","A well balanced diet",0,NA,"Food & Beverages","Square",0,0,1,0,NA,NA,NA,0.3348778534968,0.0168613199042431,991678,332091,61.2082941802919
"150424302108405_204290263388475","https://www.facebook.com/150424302108405_204290263388475","video","Be careful who you reject.","150424302108405_204290263388475","https://www.facebook.com/WeAreBadHombres/videos/204290263388475/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17308649_204290286721806_5228414468542693376_n.jpg?oh=7b556e42beb9062ca85d9447655fa316&oe=59FB1EC9",2017-03-15 16:00:00,2017-03-15,"16:00",17532,85,52960255,27988245,69861,18239253,24800,130588,135566,66486,392543,139027,41686,261955,3461,997,8201,594766,3173835,1949,598056,598056,462039,3777800,2969316,23683,5683800,429170,6112422,548,5674575,20807,3256808,67497,11377542,10838835,538707,6694747,6602800,465734,4467616,5461192,0.8309,1,0.9339,0.7751,0.6807,0.6319,0.6102,0.5964,0.5877,0.5839,0.5809,0.5767,0.5714,0.5669,0.56,0.5545,0.5504,0.5446,0.5408,0.5293,0.5181,0.504,0.4939,0.4826,0.4687,0.4548,0.4422,0.4312,0.4192,0.4095,0.4057,0.4006,0.3907,0.3774,0.3551,0.3435,0.3323,0.3162,0.3007,0.2471,0.1396,56814,3233,356,56463,43,68,"native","Bad Hombres",598056,0.0213681136491409,3.56220977771204e-05,0.406511447931087,261.079185811826,0.232464852789705,116977,0.4857,0.0276,0.003,0.4827,4e-04,6e-04,0.99618435933055,0.0038156406694502,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17308649_204290286721806_5228414468542693376_n.jpg?oh=7b556e42beb9062ca85d9447655fa316&oe=59FB1EC9 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","Be careful who you reject.",0,"Pranks","Sex & Relationships","Square",0,1,1,0,0,1,0,0.358730368438483,0.0174657253873247,15169349.5,6054207,144.333163654223
"150424302108405_253512305132937","https://www.facebook.com/150424302108405_253512305132937","video","Be careful who you reject.","150424302108405_253512305132937","https://www.facebook.com/WeAreBadHombres/videos/253512305132937/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/19182571_253512745132893_6807986007015686144_n.jpg?oh=c0592769c0af8bc5e565580adaad1cfe&oe=59FE3088",2017-06-13 11:03:00,2017-06-13,"11:03",145851,1214,4939783,2350454,64051,1766984,1164,7098,5962,3444,22294,6142,2280,15196,180,105,400,24885,171129,189,31880,31880,26558,196519,162956,6507,290808,14942,305750,0,296433,14354,160559,67497,730872,710272,20600,363900,358334,16676,207594,274025,0.8338,1,0.9057,0.6966,0.5855,0.5289,0.5038,0.4874,0.4771,0.4719,0.4677,0.4612,0.4535,0.4482,0.4404,0.4344,0.4299,0.4243,0.4205,0.4097,0.3994,0.3875,0.3785,0.3691,0.3572,0.3452,0.3341,0.3248,0.3149,0.3066,0.3032,0.2988,0.2905,0.2799,0.2629,0.2537,0.245,0.2336,0.2228,0.1846,0.1026,2607,226,23,3906,2,2,"native","Bad Hombres",31880,0.0135633371255085,4.46722207709659e-05,0.31094928894588,27.5871414966199,0.192659974905897,6766,0.3853,0.0334,0.0034,0.5773,3e-04,3e-04,0.965019237753511,0.034980762246489,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/19182571_253512745132893_6807986007015686144_n.jpg?oh=c0592769c0af8bc5e565580adaad1cfe&oe=59FE3088 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","Be careful who you reject.",0,"Pranks","Sex & Relationships","Square",0,1,0,1,1,1,90,0.358730368438483,0.0174657253873247,15169349.5,6054207,144.333163654223
"150424302108405_193114587839376","https://www.facebook.com/150424302108405_193114587839376","video","Can I be real with you? I still do this.","150424302108405_193114587839376","https://www.facebook.com/WeAreBadHombres/videos/193114587839376/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/16879633_193115097839325_9195202261188345856_n.jpg?oh=01dce7468ba4a069e4aaee2089f5c684&oe=59F8A1F7",2017-02-22 16:00:00,2017-02-22,"16:00",6347,92,2556690,1723269,10776,1192492,406,2121,2715,2780,12174,2785,2374,10053,70,183,205,20776,49050,119,17739,17739,15519,70214,65414,2528,103946,6663,110609,0,110609,9628,80602,32531,486939,467028,19911,321414,304264,17150,110947,149177,0.8083,1,0.9981,0.9931,0.9148,0.854,0.805,0.7693,0.7283,0.6964,0.6799,0.659,0.643,0.6113,0.5824,0.5588,0.5484,0.5394,0.5309,0.5258,0.5195,0.5147,0.5057,0.4978,0.4842,0.47,0.4571,0.453,0.4408,0.4218,0.4037,0.3842,0.3254,0.2388,0.1739,0.1331,0.0966,NA,NA,NA,NA,1329,88,3,580,0,4,"native","Bad Hombres",17739,0.010293807873292,0.000106193519409912,0.282567028130837,110.661841128434,0.156998703421839,2004,0.6632,0.0439,0.0015,0.2894,0,0.002,0.991044389113647,0.00895561088635283,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/16879633_193115097839325_9195202261188345856_n.jpg?oh=01dce7468ba4a069e4aaee2089f5c684&oe=59F8A1F7 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","Can I be real with you? I still do this.",0,NA,"Food & Beverages","Square",0,1,1,0,0,1,0,0.308052073234872,0.0122602872574866,1263201.5,377407,65.0061214612454
