"status_id","permalink","post_type","sharetext","headline","link","full_picture","created_time","date","hour","page_total_likes","page_new_likes","post_impressions","post_reach","post_reach_fan_unique","post_reach_viral_unique","comments_on_post","likes_on_post","shares_on_post","total_comments","total_likes","total_shares","comments_on_shares","likes_on_shares","shares_on_shares","link_clicks","photo_view","video_play","other_clicks","post_negative_feedback","post_story_adds","post_stories","post_storytellers","post_consumptions","post_engaged_users","post_engaged_fan","post_video_complete_views_30s_autoplayed","post_video_complete_views_30s_clicked_to_play","post_video_complete_views_30s_organic","post_video_complete_views_30s_paid","post_video_complete_views_30s_unique","post_video_avg_time_watched","post_video_complete_views_organic_unique","post_video_length","post_video_views","post_video_views_autoplayed","post_video_views_clicked_to_play","post_video_views_10s_unique","post_video_views_10s_autoplayed","post_video_views_10s_clicked_to_play","post_video_views_10s_sound_on","post_video_views_sound_on","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40","feed_likes","love","wow","haha","sad","angry","post_source_type","from_name","total_interactions","interaction_rate","ctr","views_rate","viral_fan_rate","total_reactions","feed_likes_rate","love_rate","wow_rate","haha_rate","sad_rate","angry_rate","viral_rate","fan_rate","share_rate","post_image","image_text_py","reposted","original","repost","repost_order","times_repost","days_bet_repost","average_share_rate","average_interaction_rate","average_post_reach","average_viral_fan_rate"
"1769264743325558_1837613986490633","https://www.facebook.com/1769264743325558_1837613986490633","photo","Latinas are so extra lol.","Timeline Photos","https://www.facebook.com/fiercebymitu/photos/a.1812546812330684.1073741828.1769264743325558/1837613986490633/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18342059_1837613986490633_3489781643214025326_n.jpg?oh=3e85b7a982c3f79865cbe465f9f95db9&oe=59749C84",2017-05-11 21:00:00,2017-05-11,"21:00",80159,1274,661642,429294,14377,425433,211,187,698,2006,4892,732,1795,4705,34,238,3504,0,4465,48,7630,7630,6544,8207,11230,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,14,0,42,0,0,"native","Fierce by mitu",7630,0.0177733674358365,0.000554398617264625,0,29.5912220908395,187,0.7005,0.0749,0,0.2246,0,0,0.96731088424547,0.0326891157545304,0.0959370904325033,"<img src =' https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18342059_1837613986490633_3489781643214025326_n.jpg?oh=3e85b7a982c3f79865cbe465f9f95db9&oe=59749C84 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","friend: we're just going to
a little dinner, dress casual
me:",0,1,0,NA,NA,NA,0.0959370904325033,0.0177733674358365,429294,29.5912220908395
"1769264743325558_1837152173203481","https://www.facebook.com/1769264743325558_1837152173203481","photo","All those regañadas worked. Thank you, mami. :heartpulse:","Timeline Photos","https://www.facebook.com/fiercebymitu/photos/a.1812546812330684.1073741828.1769264743325558/1837152173203481/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18301540_1837152173203481_6950311684370189068_n.jpg?oh=3b661b10cb038475505c4851737fa732&oe=59AE9FB8",2017-05-10 12:00:00,2017-05-10,"12:00",78858,1815,505576,326369,10058,320261,39,214,1453,682,5953,1502,643,5739,49,39,2392,0,3552,17,8137,8137,6943,5983,10012,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,81,0,12,0,0,"native","Fierce by mitu",8137,0.0249319022333616,0.000119496643369928,0,31.8414197653609,274,0.6606,0.2956,0,0.0438,0,0,0.969550646496266,0.0304493535037343,0.184588914833477,"<img src =' https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18301540_1837152173203481_6950311684370189068_n.jpg?oh=3b661b10cb038475505c4851737fa732&oe=59AE9FB8 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","Happy
Mother's Day!
Thank you for all the regañadas that
helped shape me into the strong,
fearless woman I am today.
Te amo, mamá.",0,1,0,NA,NA,NA,0.184588914833477,0.0249319022333616,326369,31.8414197653609
"1769264743325558_1829364457315586","https://www.facebook.com/1769264743325558_1829364457315586","photo","And here I am still single.","Timeline Photos","https://www.facebook.com/fiercebymitu/photos/a.1812546812330684.1073741828.1769264743325558/1829364457315586/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/18157664_1829364457315586_2865219382461632753_n.png?oh=e349665b35264e1dbc51cf624014f010&oe=5989FD22",2017-04-26 11:08:00,2017-04-26,"11:08",48649,4837,485750,314115,8861,310354,49,150,713,680,4607,741,631,4457,28,58,2083,0,2752,28,6028,6028,5394,4893,8419,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,8,0,131,0,0,"native","Fierce by mitu",6028,0.0191904238893399,0.000184645750760072,0,35.0247150434488,248,0.4395,0.0323,0,0.5282,0,0,0.9722412793885,0.0277587206115001,0.122926343729263,"<img src =' https://scontent.xx.fbcdn.net/v/t1.0-9/18157664_1829364457315586_2865219382461632753_n.png?oh=e349665b35264e1dbc51cf624014f010&oe=5989FD22 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","how do you sue walter mercado?
he promised me amor.
MUCHO AMOR.",0,1,0,NA,NA,NA,0.122926343729263,0.0191904238893399,314115,35.0247150434488
"1769264743325558_1848652455386786","https://www.facebook.com/1769264743325558_1848652455386786","photo","Happy National Cheese Day!","Timeline Photos","https://www.facebook.com/fiercebymitu/photos/a.1812546812330684.1073741828.1769264743325558/1848652455386786/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18814048_1848652455386786_2062752165938558982_n.jpg?oh=17ec0dd5b9aadb71a081d0096e08f9f8&oe=59E8AFA5",2017-06-04 05:00:00,2017-06-04,"5:00",106002,256,398117,260382,11086,253950,122,247,472,783,3283,494,661,3036,22,174,2213,0,2780,21,4560,4560,3913,5167,7041,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,44,0,72,0,0,"native","Fierce by mitu",4560,0.01751273129479,0.000668248957301196,0,22.9072704311745,292,0.6027,0.1507,0,0.2466,0,0,0.958171720068217,0.0418282799317829,0.108333333333333,"<img src =' https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18814048_1848652455386786_2062752165938558982_n.jpg?oh=17ec0dd5b9aadb71a081d0096e08f9f8&oe=59E8AFA5 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","I like my men like I like
my arepas 
hot, cheesy and only for me.",0,1,0,NA,NA,NA,0.108333333333333,0.01751273129479,260382,22.9072704311745
"1769264743325558_1824726221112743","https://www.facebook.com/1769264743325558_1824726221112743","photo","A little motivation for your Monday.","Timeline Photos","https://www.facebook.com/fiercebymitu/photos/a.1812546812330684.1073741828.1769264743325558/1824726221112743/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/17991963_1824726221112743_1991566248167218543_n.png?oh=81c445fcb9228741a9dde50c416ce7bc&oe=597F8107",2017-04-17 11:00:00,2017-04-17,"11:00",22653,127,207180,136761,2155,136496,1,52,146,42,1098,147,41,1046,1,103,572,0,821,11,1287,1287,1193,1496,2304,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,28,0,6,0,0,"native","Fierce by mitu",1287,0.0094105775769408,0.000753138687198836,0,63.339211136891,157,0.7834,0.1783,0,0.0382,0,0,0.984457378598063,0.0155426214019372,0.114219114219114,"<img src =' https://scontent.xx.fbcdn.net/v/t1.0-9/17991963_1824726221112743_1991566248167218543_n.png?oh=81c445fcb9228741a9dde50c416ce7bc&oe=597F8107 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","may your mind be as sharp
as your winged eyeliner",0,1,0,NA,NA,NA,0.114219114219114,0.0094105775769408,136761,63.339211136891
"1769264743325558_1838118709773494","https://www.facebook.com/1769264743325558_1838118709773494","photo","Why I will never block them.","Timeline Photos","https://www.facebook.com/fiercebymitu/photos/a.1812546812330684.1073741828.1769264743325558/1838118709773494/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18402973_1838118709773494_2530212455960220054_n.jpg?oh=cc167e781621f20e60d2264c0f4bdc98&oe=59B638D9",2017-05-12 22:00:00,2017-05-12,"22:00",81517,1384,985335,630103,19192,624645,167,310,1746,1248,12012,1840,1081,11702,94,178,5023,0,5350,41,15100,15100,13514,10551,20228,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,14,0,104,0,0,"native","Fierce by mitu",15100,0.0239643359895128,0.000282493497094919,0,32.5471550646103,315,0.6254,0.0444,0,0.3302,0,0,0.970191212993351,0.0298087870066492,0.121854304635762,"<img src =' https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18402973_1838118709773494_2530212455960220054_n.jpg?oh=cc167e781621f20e60d2264c0f4bdc98&oe=59B638D9 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","me after my tías comment
'qué bonita princesa!' on my
facebook photos
I feel like I am the undiscovered supermodel.",0,1,0,NA,NA,NA,0.121854304635762,0.0239643359895128,630103,32.5471550646103
"1769264743325558_1825784727673559","https://www.facebook.com/1769264743325558_1825784727673559","photo","It's that time of the year again. :nail_care:","Timeline Photos","https://www.facebook.com/fiercebymitu/photos/a.1812546812330684.1073741828.1769264743325558/1825784727673559/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/17952815_1825784727673559_3618004845269537956_n.jpg?oh=9edb303a4baa610192eddb1107e63509&oe=59803D9E",2017-04-19 14:00:00,2017-04-19,"14:00",24396,944,651723,430720,6004,430002,81,140,321,881,6667,335,800,6527,14,135,5009,0,4918,36,7883,7883,7195,10062,13704,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,6,0,92,1,0,"native","Fierce by mitu",7883,0.0183019130757801,0.00031342867756315,0,71.6192538307795,263,0.6236,0.0228,0,0.3498,0.0038,0,0.986229547299808,0.0137704527001922,0.0424965114804009,"<img src =' https://scontent.xx.fbcdn.net/v/t1.0-9/17952815_1825784727673559_3618004845269537956_n.jpg?oh=9edb303a4baa610192eddb1107e63509&oe=59803D9E ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","me before tax season vs
me after I get my tax return",0,1,0,NA,NA,NA,0.0424965114804009,0.0183019130757801,430720,71.6192538307795
"1769264743325558_1836650139920351","https://www.facebook.com/1769264743325558_1836650139920351","photo","I'm so bad at this.","Timeline Photos","https://www.facebook.com/fiercebymitu/photos/a.1812546812330684.1073741828.1769264743325558/1836650139920351/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18034275_1836650139920351_7828514789974727958_n.jpg?oh=21ea7659795a768fe533b535d2883f93&oe=59BFCF17",2017-05-09 12:00:00,2017-05-09,"12:00",77152,529,401051,265486,7499,261480,18,115,567,301,4992,578,283,4877,11,241,1534,0,2315,29,5871,5871,5464,4090,7878,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,2,0,41,0,0,"native","Fierce by mitu",5871,0.0221141604453719,0.000907769147902338,0,34.8686491532204,145,0.7034,0.0138,0,0.2828,0,0,0.972120500113392,0.0278794998866082,0.0984500085164367,"<img src =' https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18034275_1836650139920351_7828514789974727958_n.jpg?oh=21ea7659795a768fe533b535d2883f93&oe=59BFCF17 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","me trying to remember
someone's name three seconds
after shaking their hand",0,1,0,NA,NA,NA,0.0984500085164367,0.0221141604453719,265486,34.8686491532204
"1769264743325558_1837610936490938","https://www.facebook.com/1769264743325558_1837610936490938","photo","Me when I find good lighting.","Timeline Photos","https://www.facebook.com/fiercebymitu/photos/a.1812546812330684.1073741828.1769264743325558/1837610936490938/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18403218_1837610936490938_948839819414113247_n.jpg?oh=8f933560cac381c24b46cd938eb4f864&oe=59AAE353",2017-05-11 18:00:00,2017-05-11,"18:00",80159,1274,166211,110333,3397,108800,5,45,50,62,576,51,57,531,1,166,735,0,872,12,689,689,636,1773,1943,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1,0,10,0,0,"native","Fierce by mitu",689,0.00624473185719594,0.00150453626748117,0,32.0282602296144,47,0.766,0.0213,0,0.2128,0,0,0.969722898116705,0.0302771018832946,0.0740203193033382,"<img src =' https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/18403218_1837610936490938_948839819414113247_n.jpg?oh=8f933560cac381c24b46cd938eb4f864&oe=59AAE353 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","me: I don't like taking selfies
also me:
Don't forget to smize.",0,1,0,NA,NA,NA,0.0740203193033382,0.00624473185719594,110333,32.0282602296144
"1769264743325558_1857353294516702","https://www.facebook.com/1769264743325558_1857353294516702","photo","Only when the lighting is right.","Timeline Photos","https://www.facebook.com/fiercebymitu/photos/a.1812546812330684.1073741828.1769264743325558/1857353294516702/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/19247781_1857353294516702_4237270098640532494_n.png?oh=bc04b5c57d6ab6c9d948794d4b2e7715&oe=59E9ED56",2017-06-21 09:00:00,2017-06-21,"9:00",112001,915,131089,86316,3860,78571,2,29,81,50,600,83,48,571,2,94,392,0,430,12,733,733,699,916,1374,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,7,0,20,0,0,"native","Fierce by mitu",733,0.00849205245840864,0.00108902173409333,0,20.3551813471503,134,0.7985,0.0522,0,0.1493,0,0,0.95317295677597,0.0468270432240298,0.113233287858117,"<img src =' https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/19247781_1857353294516702_4237270098640532494_n.png?oh=bc04b5c57d6ab6c9d948794d4b2e7715&oe=59E9ED56 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","me: I don't really like taking selfies
also me:",0,1,0,NA,NA,NA,0.113233287858117,0.00849205245840864,86316,20.3551813471503
