"status_id","permalink","post_type","sharetext","headline","link","full_picture","created_time","date","hour","page_total_likes","page_new_likes","post_impressions","post_reach","post_reach_fan_unique","post_reach_viral_unique","comments_on_post","likes_on_post","shares_on_post","total_comments","total_likes","total_shares","comments_on_shares","likes_on_shares","shares_on_shares","link_clicks","photo_view","video_play","other_clicks","post_negative_feedback","post_story_adds","post_stories","post_storytellers","post_consumptions","post_engaged_users","post_engaged_fan","post_video_complete_views_30s_autoplayed","post_video_complete_views_30s_clicked_to_play","post_video_complete_views_30s_organic","post_video_complete_views_30s_paid","post_video_complete_views_30s_unique","post_video_avg_time_watched","post_video_complete_views_organic_unique","post_video_length","post_video_views","post_video_views_autoplayed","post_video_views_clicked_to_play","post_video_views_10s_unique","post_video_views_10s_autoplayed","post_video_views_10s_clicked_to_play","post_video_views_10s_sound_on","post_video_views_sound_on","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40","feed_likes","love","wow","haha","sad","angry","post_source_type","from_name","total_interactions","interaction_rate","ctr","views_rate","viral_fan_rate","share_rate","total_reactions","feed_likes_rate","love_rate","wow_rate","haha_rate","sad_rate","angry_rate","viral_rate","fan_rate","post_image","video_repost_sharetext","video_meme","series","category","format","sponsored","reposted","original","repost","repost_order","times_repost","days_bet_repost","average_views_rate","average_interaction_rate","average_post_reach","average_video_views","average_viral_fan_rate"
"1405630409737397_1745214422445659","https://www.facebook.com/1405630409737397_1745214422445659","video","'Cause even the butcher's wife gets a gift.","1405630409737397_1745214422445659","https://www.facebook.com/wearemitu/videos/1745214422445659/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17584822_1745217002445401_8105559192653266944_n.jpg?oh=3dfec292d5f61a9231a5495c855fedca&oe=595E9269",2017-03-31 11:00:00,2017-03-31,"11:00",3373143,3175,2475001,1419210,1004747,352910,928,10025,3288,2171,14147,3320,1243,4122,32,107,379,17247,90314,125,19638,19638,16578,108047,89414,64241,137631,13605,151236,0,149358,10811,119312,53523,430955,414499,16456,229264,221368,15262,99399,115367,0.8112,1,0.9907,0.828,0.6978,0.6311,0.5896,0.5613,0.5349,0.5132,0.4896,0.4724,0.457,0.4421,0.4307,0.42,0.4067,0.3931,0.3836,0.3755,0.3659,0.3585,0.3532,0.3492,0.3455,0.3393,0.3328,0.3271,0.3191,0.3115,0.3058,0.3023,0.299,0.2964,0.2947,0.2932,0.2915,0.2899,0.2863,0.2578,0.2009,5545,461,18,5176,2,3,"native","We are mitu",19638,0.0138372756674488,7.53940572572065e-05,0.303658373320368,0.351242651135062,0.169059985741929,11205,0.4949,0.0411,0.0016,0.4619,2e-04,3e-04,0.259940470973154,0.740059529026845,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17584822_1745217002445401_8105559192653266944_n.jpg?oh=3dfec292d5f61a9231a5495c855fedca&oe=595E9269 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","'Cause even the butcher's wife gets a gift.",0,"Abuela","Family & Friends","Square",0,1,1,0,0,1,0,0.290413200375323,0.0114180691986184,1298735,378765.5,0.257906952865452
"1405630409737397_1762246927409075","https://www.facebook.com/1405630409737397_1762246927409075","video","'Cause even the butcher's wife gets a gift.","1405630409737397_1762246927409075","https://www.facebook.com/wearemitu/videos/1762246927409075/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17584822_1745217002445401_8105559192653266944_n.jpg?oh=074667002787f9e441140e247a12dd16&oe=59861F69",2017-05-01 07:00:00,2017-05-01,"7:00",3439796,2206,2020818,1178260,991929,163243,554,6412,1709,1122,7751,1730,568,1339,21,49,222,9484,55791,97,10603,10603,9102,65546,55197,46347,97471,7047,104685,0,100745,9239,82493,53523,326576,317893,8683,164540,157669,7924,66436,81972,0.8216,1,0.9893,0.7998,0.6593,0.5919,0.5489,0.5197,0.4942,0.4738,0.4512,0.4348,0.4203,0.4061,0.3954,0.3849,0.3721,0.3591,0.3505,0.3426,0.3337,0.3271,0.3224,0.3188,0.3153,0.3096,0.3032,0.2977,0.2899,0.2829,0.2778,0.2744,0.2714,0.2689,0.2673,0.2659,0.2642,0.2628,0.2592,0.2334,0.1828,3805,333,7,3551,2,0,"native","We are mitu",10603,0.00899886272978799,4.15867465584845e-05,0.277168027430279,0.164571254595843,0.163161369423748,7698,0.4943,0.0433,9e-04,0.4613,3e-04,0,0.141314886441153,0.858685113558847,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17584822_1745217002445401_8105559192653266944_n.jpg?oh=074667002787f9e441140e247a12dd16&oe=59861F69 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","'Cause even the butcher's wife gets a gift.",0,"Abuela","Family & Friends","Square",0,1,0,1,1,1,31,0.290413200375323,0.0114180691986184,1298735,378765.5,0.257906952865452
"1405630409737397_1521947591439011","https://www.facebook.com/1405630409737397_1521947591439011","video","""¿Y el novio?""","1405630409737397_1521947591439011","https://www.facebook.com/wearemitu/videos/1521947591439011/","https://scontent.xx.fbcdn.net/v/t15.0-10/12104146_1521949941438776_1305611111_n.jpg?oh=b7f13c324635465aaef360b4694cb0d2&oe=5910A661",2015-12-03 11:00:00,2015-12-03,"11:00",437145,14179,4470751,2946326,253211,1172690,910,11558,3418,2461,18230,3913,1551,6672,495,19,799,185367,360375,89,24604,24604,21221,546689,372516,54826,424295,177225,599138,2382,558530,4000,555094,4000,655542,475406,180136,558530,424286,177223,20537,21145,0.979,1,0.9987,0.9912,0.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11488,49,2,10,0,0,"native","We are mitu",24604,0.00835073919179344,6.44870934173611e-06,0.222494727331599,4.63127589243753,0.159039180621037,11549,0.9947,0.0042,2e-04,9e-04,0,0,0.82242035036093,0.17757964963907,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/12104146_1521949941438776_1305611111_n.jpg?oh=b7f13c324635465aaef360b4694cb0d2&oe=5910A661 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","""¿Y el novio?""",1,"Video Memes","Sex & Relationships","Regular",0,0,1,0,NA,NA,NA,0.222494727331599,0.00835073919179344,2946326,655542,4.63127589243753
"1405630409737397_1673499782950457","https://www.facebook.com/1405630409737397_1673499782950457","video","""Act cool Tyson"".","1405630409737397_1673499782950457","https://www.facebook.com/wearemitu/videos/1673499782950457/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/14926154_1673499949617107_8360279916134006784_n.jpg?oh=33221e7bddf20c20385718c749d8a7d8&oe=59021BDC",2016-11-09 07:00:00,2016-11-09,"7:00",2700345,4196,994993,628752,429865,179057,616,7184,2203,1194,9603,2268,578,2419,65,92,322,22097,58283,53,13065,13065,11452,80794,65533,43939,73223,16719,89942,0,87189,5837,83870,8618,208028,187431,20597,87189,73221,16719,55521,69802,0.7804,1,0.9998,0.9938,0.9851,0.8795,0.8021,0.7135,0.6202,0.5406,0.4776,0.4336,0.3742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4369,297,5,2504,0,0,"native","We are mitu",13065,0.0207792579586228,0.000146321602157926,0.330858589714228,0.416542402847406,0.173593570608496,7175,0.6089,0.0414,7e-04,0.349,0,0,0.294055724706941,0.705944275293059,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/14926154_1673499949617107_8360279916134006784_n.jpg?oh=33221e7bddf20c20385718c749d8a7d8&oe=59021BDC ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","""Act cool Tyson"".",1,"Video Memes","Family & Friends","Square",0,0,1,0,NA,NA,NA,0.330858589714228,0.0207792579586228,628752,208028,0.416542402847406
"1405630409737397_1662370150730087","https://www.facebook.com/1405630409737397_1662370150730087","video","""All of this for some beans."" :joy:","1405630409737397_1662370150730087","https://www.facebook.com/wearemitu/videos/1662370150730087/","https://scontent.xx.fbcdn.net/v/t15.0-10/14768102_1662370734063362_8759522509553926144_n.jpg?oh=f8849e4636abf16903c22879b741ce59&oe=591A1AC8",2016-10-18 20:00:00,2016-10-18,"20:00",2636100,2768,2505964,1630082,578091,575978,1800,9627,4803,4116,15924,4958,2316,6297,155,106,556,45518,108601,91,24998,24998,20812,154781,113882,56941,127598,32456,160054,0,152906,9232,152995,21929,386075,343597,42478,205118,178603,37392,124749,143479,0.7978,1,0.9972,0.9901,0.8956,0.792,0.7211,0.6766,0.639,0.6083,0.58,0.5547,0.5387,0.5222,0.5089,0.4938,0.482,0.4708,0.4597,0.4486,0.4381,0.4307,0.4232,0.4157,0.3776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5537,164,14,3884,6,3,"native","We are mitu",24998,0.0153354248436582,6.5027403529393e-05,0.236843913373683,0.996344866119694,0.19833586686935,9608,0.5763,0.0171,0.0015,0.4042,6e-04,3e-04,0.499084543471837,0.500915456528162,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/14768102_1662370734063362_8759522509553926144_n.jpg?oh=f8849e4636abf16903c22879b741ce59&oe=591A1AC8 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","""All of this for some beans."" :joy:",1,"Video Memes","Family & Friends","Square",0,0,1,0,NA,NA,NA,0.236843913373683,0.0153354248436582,1630082,386075,0.996344866119694
"1405630409737397_1621451644821938","https://www.facebook.com/1405630409737397_1621451644821938","video","""Andale con ganas""","1405630409737397_1621451644821938","https://www.facebook.com/wearemitu/videos/1621451644821938/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/13697312_1621452291488540_2101877248_n.jpg?oh=ece579e120fb329032cd71d63d185115&oe=590A1DBA",2016-07-19 07:00:00,2016-07-19,"7:00",2276888,5074,1363271,943558,369913,269310,660,7704,4089,1760,13146,4257,1100,5442,168,60,382,34995,44020,63,19163,19163,16226,79457,69184,30237,146137,26975,173103,9,161258,5866,161931,5866,245962,214736,31228,161258,146137,26975,68867,81308,0.9334,1,0.9994,0.9953,0.9879,0.931,0.8458,0.7482,0.6509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5714,105,42,2523,0,0,"native","We are mitu",19163,0.0203092973616884,6.35890957418622e-05,0.260675019447665,0.728036051720269,0.222146845483484,8384,0.6815,0.0125,0.005,0.3009,0,0,0.42130836969258,0.57869163030742,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/13697312_1621452291488540_2101877248_n.jpg?oh=ece579e120fb329032cd71d63d185115&oe=590A1DBA ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","""Andale con ganas""",1,"Video Memes","Family & Friends","Square",0,0,1,0,NA,NA,NA,0.260675019447665,0.0203092973616884,943558,245962,0.728036051720269
"1405630409737397_1543267305973706","https://www.facebook.com/1405630409737397_1543267305973706","video","""Are you supposed to sweat?""","Black People Try Mexican Candy","https://www.facebook.com/wearemitu/videos/1543267305973706/","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/12496641_795169533921105_1200176104_n.jpg?oh=c3dd5a29dcfec7cf88a54c09c85f73a7&oe=594BD011",2016-01-20 18:00:00,2016-01-20,"18:00",894743,7911,26621327,14565227,636596,3479523,3194,32256,14853,10214,52943,14861,7020,20687,8,50,2480,535273,997235,433,78018,78018,69657,1535867,1082806,179335,1077968,440130,1489378,28720,1518098,62022,942605,121939,2741457,2232772,508685,1970093,1487182,482911,116463,135207,0.971,1,0.8408,0.7427,0.6905,0.6555,0.6199,0.6018,0.5821,0.5704,0.5616,0.5532,0.5454,0.5291,0.5109,0.4979,0.4806,0.4652,0.4599,0.4564,0.4536,0.4507,0.4465,0.4425,0.4357,0.4278,0.422,0.4191,0.4182,0.4166,0.4134,0.4105,0.408,0.406,0.4021,0.3929,0.3825,0.3726,0.3604,0.3409,0.1343,32056,31,3,109,1,2,"native","We are mitu",78018,0.00535645616783041,3.4328335562501e-06,0.188219311652335,5.46582604980239,0.190481683714015,32202,0.9955,0.001,1e-04,0.0034,0,1e-04,0.84534072022699,0.154659279773009,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/12496641_795169533921105_1200176104_n.jpg?oh=c3dd5a29dcfec7cf88a54c09c85f73a7&oe=594BD011 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","""Are you supposed to sweat?""",0,NA,"Food & Beverages","Regular",0,0,1,0,NA,NA,NA,0.188219311652335,0.00535645616783041,14565227,2741457,5.46582604980239
"1405630409737397_1748400225460412","https://www.facebook.com/1405630409737397_1748400225460412","video","""Before I was a child I was considered a troublemaker.""","1405630409737397_1748400225460412","https://www.facebook.com/wearemitu/videos/1748400225460412/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17779865_1748400248793743_7150334448565747712_n.jpg?oh=0c3770263ddd1b35453441a8e9df86e1&oe=5953120C",2017-04-04 16:00:00,2017-04-04,"16:00",3381273,2836,4624353,2795761,1227130,1619977,699,21922,16867,2223,43265,16931,1524,21343,64,92,732,38503,142925,124,62419,62419,51237,182252,142598,67601,138021,27128,163833,1316,161969,12972,104619,139113,840027,802763,37264,290919,259889,31030,108911,148238,0.922,1,0.5176,0.3781,0.3157,0.2762,0.2563,0.2403,0.2284,0.2195,0.2104,0.2021,0.1977,0.193,0.1887,0.1852,0.1823,0.1806,0.1792,0.1777,0.1761,0.1751,0.174,0.1724,0.1714,0.1705,0.1697,0.1683,0.1671,0.1655,0.1642,0.1623,0.161,0.1598,0.1584,0.1569,0.1546,0.1503,0.144,0.1242,0.0649,43522,18403,2103,49,543,8,"native","We are mitu",62419,0.0223263004241064,3.29069616465785e-05,0.300464524685765,1.32013478604549,0.271247536807703,64628,0.6734,0.2848,0.0325,8e-04,0.0084,1e-04,0.568990557783743,0.431009442216257,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17779865_1748400248793743_7150334448565747712_n.jpg?oh=0c3770263ddd1b35453441a8e9df86e1&oe=5953120C ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","""Before I was a child I was considered a troublemaker.""",0,NA,"Identities","Square",0,1,1,0,0,1,0,0.295905092643632,0.0191563401984109,2027541.5,603462.5,0.907158096375731
"1405630409737397_1764711150495986","https://www.facebook.com/1405630409737397_1764711150495986","video","""Before I was a child I was considered a troublemaker.""","1405630409737397_1764711150495986","https://www.facebook.com/wearemitu/videos/1764711150495986/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/18324246_1764711940495907_6206992534661496832_n.jpg?oh=bb3d7879336be81dae74086b9709f0a9&oe=59BCFC0E",2017-05-03 20:00:00,2017-05-03,"20:00",3446205,4940,1982301,1259322,839550,414890,230,9899,5295,564,14279,5289,334,4380,0,119,256,10167,45888,66,20132,20132,16892,56430,47585,34151,51886,6457,58343,0,57543,10841,36240,139113,366898,357444,9454,107426,101272,7475,35531,53946,0.9508,1,0.4655,0.327,0.2679,0.2321,0.2144,0.1995,0.188,0.1794,0.1714,0.164,0.1602,0.1563,0.1526,0.1496,0.147,0.1454,0.144,0.1427,0.1414,0.1407,0.1396,0.1383,0.1376,0.1368,0.1361,0.1349,0.1339,0.1325,0.1313,0.1296,0.1286,0.1277,0.1266,0.1253,0.1237,0.1203,0.1153,0.1009,0.054,11831,4608,280,16,582,7,"native","We are mitu",20132,0.0159863799727155,9.44952919110442e-05,0.291345660601498,0.494181406705973,0.26271607391218,17324,0.6829,0.266,0.0162,9e-04,0.0336,4e-04,0.330737221389624,0.669262778610376,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/18324246_1764711940495907_6206992534661496832_n.jpg?oh=bb3d7879336be81dae74086b9709f0a9&oe=59BCFC0E ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","""Before I was a child I was considered a troublemaker.""",0,NA,"Identities","Square",0,1,0,1,1,1,29,0.295905092643632,0.0191563401984109,2027541.5,603462.5,0.907158096375731
"1405630409737397_1787629744870793","https://www.facebook.com/1405630409737397_1787629744870793","video","""Belt buckle con Alacran Compadre!"" (Check out the new special on Netflix!)","Bad Hombres","https://www.facebook.com/WeAreBadHombres/videos/256444434839724/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/19340230_256444941506340_6611186941905862656_n.jpg?oh=f822e0e8a5cd39b9d798d3f44d2b01e2&oe=59D908CE",2017-06-19 11:00:00,2017-06-19,"11:00",3526107,1335,1283799,780614,738047,47963,346,2529,0,525,2618,0,179,89,0,131,183,0,52493,41,3143,3143,2815,52807,40988,39476,46994,1541,48535,0,48056,30822,16793,101395,176152,174062,2090,75167,73404,1763,42973,52632,0.8303,1,0.6162,0.4855,0.426,0.3792,0.3566,0.344,0.3348,0.3196,0.3087,0.2886,0.2781,0.2711,0.2644,0.2594,0.2553,0.2504,0.245,0.2354,0.2302,0.2262,0.2214,0.2151,0.2103,0.2065,0.2036,0.1998,0.1943,0.1899,0.1857,0.1821,0.1781,0.161,0.1475,0.1356,0.1264,0.1139,0.0997,0.0722,0.0439,1313,68,6,1519,0,2,"shared","We are mitu",3143,0.00402631774474965,0.000167816616150876,0.225658263879459,0.0649863762063934,0,2908,0.4515,0.0234,0.0021,0.5224,0,7e-04,0.0610208521520082,0.938979147847992,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/19340230_256444941506340_6611186941905862656_n.jpg?oh=f822e0e8a5cd39b9d798d3f44d2b01e2&oe=59D908CE ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","""Belt buckle con Alacran Compadre!"" (Check out the new special on Netflix!)",0,"Bad Hombres Share","Latino Culture","Square",0,0,1,0,NA,NA,NA,0.225658263879459,0.00402631774474965,780614,176152,0.0649863762063934
