"PostID","FBlink","Mitulink","Headline","ShareText","Type","Category","DatePosted","HourPosted","Hour","Day","Month","Reach","Comments","Likes","Shares","TotalInter","InterRate","Clicks","CTR","TimesRepost","Reposted","RepostOrder","Originals","Reposts","ss_headlines","ss_comments","category"
"1405630409737397_1498987820401655","https://www.facebook.com/wearemitu/posts/1498987820401655","https://www.wearemitu.com/mitu-world/quiz-can-you-tell-which-celeb-is-latino/","Quiz: Can You Tell Who on the List is Latino?","QUIZ: Which one of these celebs is Latino?  a) Ariana Grande  b) Vanessa Hudgens  c) Bruno Mars.","Link","Celebrity & Gossip",2015-10-01,"9:03:17 a. m.",9,4,10,2634,1,2,2,5,0.0019,15,39,"4","1","0","1","0",0,0,"Celebrity & Gossip"
"1405630409737397_1498997103734060","https://www.facebook.com/wearemitu/posts/1498997103734060","https://www.wearemitu.com/mitu-world/latino-songs-dance-party/","13 Latino Songs Guaranteed to Get You Out of Your Chair and Dancing","We dare your hips not to move when you hear these songs.","Link","Music",2015-10-01,"10:03:04 a. m.",10,4,10,4597,0,26,9,35,0.0076,103,214,"4","1","0","1","0",0,0,"Music"
"1405630409737397_1499006770399760","https://www.facebook.com/wearemitu/posts/1499006770399760","https://www.wearemitu.com/mitu-world/quiz-which-movie-cholo-are-you/","Quiz: Which Movie Cholo Are You? Miklo, Smiley or Angel?","Find out who your cholo spirit animal is.","Link","TV & Movies",2015-10-01,"11:02:56 a. m.",11,4,10,6636,7,34,4,45,0.0068,153,221,"5","1","0","1","0",0.4696,0.0289,"TV & Movies"
"1405630409737397_1499041550396282","https://www.facebook.com/wearemitu/posts/1499041550396282","https://www.wearemitu.com/mitu-voice/love-songs-broken-heart/","These 21 Latino Songs Will Help You through Your Breakup","Sit down, relax and let these songs cure your broken heart.","Link","Music",2015-10-01,"2:00:50 p. m.",14,4,10,9035,9,94,19,122,0.0135,295,322,"6","1","0","1","0",0.4019,0,"Music"
"1405630409737397_1499082580392179","https://www.facebook.com/wearemitu/posts/1499082580392179","https://www.wearemitu.com/mitu-world/el-chapos-sons-are-still-showing-off-all-over-social-media/","El Chapo’s Sons are Still Showing Off All Over Social Media","Photos that proof that El Chapo's sons really DGAF.","Link","Sensationalist",2015-10-01,"7:00:57 p. m.",19,4,10,22177,12,129,14,155,0.007,964,429,"6","1","0","1","0",0,0.4757,"Sensationalist"
"1405630409737397_1499091423724628","https://www.facebook.com/wearemitu/posts/1499091423724628","https://www.wearemitu.com/mitu-world/quiz-which-movie-cholo-are-you/","Quiz: Which Movie Cholo Are You? Miklo, Smiley or Angel?","Find out who your cholo spirit animal is.","Link","TV & Movies",2015-10-01,"8:00:50 p. m.",20,4,10,3488,7,11,6,24,0.0069,53,137,"5","1","1","0","1",0.4696,0,"TV & Movies"
"1405630409737397_1499288657038238","https://www.facebook.com/wearemitu/posts/1499288657038238","https://www.wearemitu.com/mitu-life/hangovercure/","Think that Gallon of Agua is Helping Your Hangover? Here’s Why You’re Wrong","Thanks a lot science!","Link","News & Issues",2015-10-02,"3:01:07 p. m.",15,5,10,7361,2,16,3,21,0.0029,141,179,"5","1","0","1","0",-0.2263,-0.2244,"News & Issues"
"1405630409737397_1499448327022271","https://www.facebook.com/wearemitu/posts/1499448327022271","https://www.wearemitu.com/mitu-life/7-quotes-from-la-dona-maria-felix-that-will-get-you-through-the-week/","7 Quotes from La Doña María Félix that Will Get You through the Week","María Félix quotes that are more relatable now than ever before.","Link","Identities",2015-10-03,"8:04:14 a. m.",8,6,10,9607,5,97,24,126,0.0131,225,224,"5","1","0","1","0",0,0.5567,"Identities"
"1405630409737397_1499547497012354","https://www.facebook.com/wearemitu/posts/1499547497012354","https://www.wearemitu.com/mitu-world/did-la-quirky-nancy-discover-mangoes-on-a-stick/","White People Discovering Mangoes on a Stick Inspires La Quirky Nancy","This is what happens when hipsters discover Mexican street food.","Link","Food & Beverages",2015-10-03,"6:01:20 p. m.",18,6,10,16249,6,102,11,119,0.0073,568,345,"6","1","0","1","0",0.4404,-0.6458,"Food & Beverages"
"1405630409737397_1499578303675940","https://www.facebook.com/wearemitu/posts/1499578303675940","https://www.wearemitu.com/mitu-world/el-chapos-sons-are-still-showing-off-all-over-social-media/","Two of El Chapo’s Sons are Using Social Media to Show the World How...","Photos that proof that El Chapo's sons really DGAF.","Link","Sensationalist",2015-10-03,"10:01:15 p. m.",22,6,10,17506,11,71,15,97,0.0055,828,464,"6","1","1","0","1",0,0.0812,"Sensationalist"
