Author,Sort (Visitors),Posts,Visitors,Views,Engaged Minutes,New Vis,Returning Vis,Views New Vis.,Views Ret. Vis.,Minutes New Vis.,Minutes Ret. Vis.,Desktop Views,Mobile Views,Tablet Views,Search Refs,Internal refs,Other refs,Direct refs,Social Refs,Fb refs,Tw refs,Li refs,Pi refs,Social Interactions,Fb interactions,Tw interactions,Li interactions,Pi interactions
Jorge Rodriguez-Jimenez,366742,1001,366742,563385,513687,217562,171851,238116,325269,227879,285807,39491,519508,4386,18422,10149,2207,21370,511128,510250,661,13,102,128912,128741,147,23,1
Andrew Santiago,205579,156,205579,273629,237403,111339,100277,124257,149372,111330,126073,24184,247320,2125,7804,3812,2488,11180,241297,241070,220,4,1,37941,37856,75,4,6
Jessica Garcia,184908,259,184908,278179,239103,88080,101544,101463,176716,85103,153999,22672,253426,2081,6790,8748,1547,15334,242820,241756,765,,112,46496,46234,103,,159
Omar Villegas,126839,512,126839,160213,130972,77038,52845,85855,74358,74752,56219,12449,145919,1845,13322,3211,81,7366,136160,135934,200,,16,46639,46562,77,,
Lucas Molandes,112446,456,112446,147843,97808,51324,64913,54058,93785,36623,61184,12343,134092,1408,3525,3438,77,5440,135353,135142,203,,2,25394,25359,35,,
Araceli Cruz,101398,127,101398,123986,149469,58340,46695,63957,60029,79277,70192,11035,111725,1226,9029,2530,140,5625,106656,106295,350,2,2,36369,36237,118,14,
Julie Morse,19257,18,19257,22530,27590,18771,1777,20242,2288,25645,1944,2976,18496,1058,20008,28,19,1596,857,855,2,,,63,62,1,,
Claudya Martinez,19155,107,19155,21133,15041,10867,8007,11698,9435,8570,6470,2326,18452,355,4735,544,83,1240,14530,14493,,,37,3817,3816,,,1
Adriana Venegas,17073,185,17073,17687,15830,13346,3776,13564,4123,14808,1021,1684,15267,736,7963,196,14,850,8663,8644,13,,6,1143,1140,3,,
mitú Staff,14187,140,14187,16361,6074,9878,4467,11202,5159,4235,1839,1382,14799,180,1594,290,11,728,13713,13649,13,,48,3379,3374,4,,1
Alex Alvarez,13410,123,13410,14979,6253,7808,5671,8514,6465,4080,2173,1716,13038,225,2521,234,27,375,11822,11786,6,,14,3193,3193,,,
Christine Bolaños,8914,2,8914,10160,6930,3037,6105,3161,6999,2130,4800,793,9271,96,17,114,33,384,9594,9474,120,,,1967,1921,45,1,
Wendy Barba,8384,188,8384,9498,6651,4678,3908,4995,4503,3259,3392,1193,8156,149,2025,617,39,1054,5763,5632,6,,102,2076,2073,2,,1
Nina Concepcion,6634,60,6634,7308,6458,3851,2747,4107,3201,3809,2649,1129,6010,169,2765,154,8,376,3984,3976,6,,2,211,211,,,
Jacquelinne Mejia,6059,65,6059,7218,5630,3110,3160,3431,3787,2614,3015,918,6208,92,1090,134,11,455,5506,5497,5,,4,2888,2887,,,1
Alex Zaragoza,4795,2,4795,5494,4468,1571,3212,1733,3761,1483,2985,627,4790,77,17,138,1,230,5107,5067,40,,,2984,2968,16,,
Daniela Cabrera,4726,26,4726,5187,1911,2424,2390,2568,2619,963,948,377,4763,47,128,112,4,110,4828,4797,31,,,1371,1368,3,,
Vanessa Gonzalez,3827,21,3827,4389,2787,2524,1386,2643,1746,1700,1087,471,3870,48,309,67,7,350,3656,3655,,,1,1088,1088,,,
Kelly Maclean,3202,102,3202,3754,2320,2948,407,3187,567,2013,306,821,2760,173,2369,362,10,682,313,298,3,,12,10,10,,,
Trilce Ortiz,3034,82,3034,3508,2917,2186,917,2400,1108,2158,759,663,2744,101,1397,244,5,594,1268,1166,99,,3,36,33,3,,
Jason Marcus,2993,66,2993,3571,2495,1205,1822,1405,2166,1009,1486,548,2985,38,230,285,8,218,2830,2827,2,,1,51,51,,,
Regina Castañeda,2983,10,2983,3364,4514,1920,1157,2015,1349,2845,1669,479,2833,52,589,2061,5,186,523,523,,,,133,132,1,,
Elisa Osegueda,2082,78,2082,2558,1783,1925,252,2180,378,1591,192,666,1763,129,1815,267,19,161,294,288,2,,4,37,36,1,,
Kris Fortin,1875,6,1875,2174,1508,550,1307,592,1582,443,1064,213,1929,32,8,101,6,114,1945,1945,,,,1806,1806,,,
Joseph Crosby,1684,4,1684,1784,1117,1673,60,1698,86,1092,25,431,1288,65,1634,14,4,114,18,18,,,,,,,,
Erika Ramirez,1550,3,1550,1942,1259,488,1081,572,1370,372,886,155,1768,19,66,11,,205,1660,1658,1,,1,930,930,,,
mitumixadmin,1402,13,1402,2196,1383,1185,357,1558,638,1004,378,1252,922,22,50,2005,2,127,11,11,,,,,,,,
Jessica Roiz,1347,45,1347,1685,1386,1138,262,1296,389,1241,144,307,1340,38,920,94,4,100,567,559,1,,,73,71,2,,
Fidel Martinez,1187,101,1187,1435,476,1001,216,1127,308,415,60,326,1089,20,428,80,9,72,846,844,2,,,217,215,,2,
Nathalie Martinez,434,16,434,489,390,403,44,437,52,354,36,124,343,22,162,33,2,56,236,39,,,197,107,18,,,89
Annie Leal,313,9,313,338,320,302,24,310,28,304,16,54,276,8,291,13,,21,13,13,,,,,,,,
Gilberto Manzano,303,13,303,329,360,294,19,309,20,343,16,89,235,5,287,9,,20,13,13,,,,1,1,,,
Felipe Torres Medina,221,1,221,244,155,147,78,160,84,135,20,46,190,8,77,3,5,6,153,153,,,,1,1,,,
Natalie Barba,131,6,131,149,127,93,40,100,49,68,59,40,104,5,61,47,,12,29,29,,,,,,,,
Karen Anzoategui,109,10,109,134,128,85,25,96,38,93,34,26,104,4,52,13,2,12,55,55,,,,12,12,,,
Daisy Rodriguez,105,7,105,136,92,77,33,92,44,56,35,51,80,5,19,44,1,43,29,29,,,,,,,,
Roxana Colaiaco,105,9,105,112,117,94,14,95,17,102,15,38,72,2,89,12,,8,3,3,,,,,,,,
Chano Garcia,90,8,90,112,63,75,17,80,32,48,15,46,64,2,65,15,,12,7,7,,,,3,3,,,
Carla Carvajal,70,9,70,72,53,61,9,63,9,44,9,27,43,2,41,12,1,9,9,9,,,,,,,,
Ruby Marez,70,6,70,78,57,66,5,73,5,50,6.9,28,49,1,63,8,,4,3,3,,,,,,,,
Daniel Morales,61,2,61,72,61,54,12,59,13,53,7.5,36,36,,61,4,,5,2,2,,,,,,,,
Alejandra Garcia,55,16,55,70,28,46,10,49,21,22,6.3,25,38,7,29,19,,9,13,13,,,,1,1,,,
megu,44,14,44,390,165,28,20,120,270,36,128,349,41,,,59,,289,4,4,,,,,,,,
Prisca Dorcas Mojica Rodriguez,30,2,30,35,18,28,2,28,7,12,5.5,20,15,,11,1,4,11,8,8,,,,,,,,
Jenni Villareal,28,4,28,29,22,26,2,27,2,20,1.7,7,22,,27,1,,,1,1,,,,,,,,
Maria Sherman,27,3,27,38,39,20,10,24,14,27,12,21,17,,10,8,,5,15,12,3,,,,,,,
vano bambino,26,2,26,140,59,13,15,44,96,18,41,109,31,,,36,,69,2,2,,,,,,,,
Cindy Garcia,23,1,23,26,16,21,2,24,2,15,0.9,9,17,,19,4,,2,1,1,,,,,,,,
Henry Pacheco,19,6,19,20,4.8,18,2,18,2,4.3,0.5,9,9,2,11,4,,,5,5,,,,,,,,
Sydney Presley,16,3,16,19,6.8,12,4,13,6,5.5,1.4,12,7,,4,9,,3,3,3,,,,,,,,
