Author,Sort (Visitors),Posts,Visitors,Views,Engaged Minutes,New Vis,Returning Vis,Views New Vis.,Views Ret. Vis.,Minutes New Vis.,Minutes Ret. Vis.,Desktop Views,Mobile Views,Tablet Views,Search Refs,Internal refs,Other refs,Direct refs,Social Refs,Fb refs,Tw refs,Li refs,Pi refs,Social Interactions,Fb interactions,Tw interactions,Li interactions,Pi interactions
Jorge Rodriguez-Jimenez,111243,649,111243,138629,113477,52064,58473,58941,79688,50394,63083,10084,127521,1024,4789,3240,123,5776,124606,124380,159,,25,37314,37260,54,,
Omar Villegas,61014,349,61014,77103,63987,30784,31387,34756,42347,28026,35961,6251,70120,732,4582,920,37,3155,68344,68162,168,,12,10830,10774,56,,
Araceli Cruz,56881,100,56881,68799,106156,34940,23675,40203,28596,61184,44972,6423,61749,627,3476,1104,31,2267,61917,61641,268,2,,25154,25049,92,13,
Jessica Garcia,35297,194,35297,49721,42318,14792,22303,20228,29493,15301,27017,6403,42853,465,1621,2538,683,3082,38718,38439,143,,38,8311,8269,13,,29
Andrew Santiago,22540,132,22540,34497,20407,12567,10514,22183,12314,11460,8947,11416,22791,290,1846,838,1774,2911,18315,18192,120,1,1,6577,6541,34,1,1
Lucas Molandes,15108,278,15108,17100,9799,5497,9171,6131,10969,3557,6241,1738,15198,164,878,543,10,628,15037,15025,10,,2,5428,5427,1,,
Claudya Martinez,12540,72,12540,13971,9114,6439,6275,6922,7049,4155,4959,1083,12744,144,1429,203,17,351,11971,11959,,,12,3125,3124,,,1
Adriana Venegas,9989,101,9989,10059,3849,6418,3342,6484,3575,3123,726,730,9129,200,1449,49,6,202,8353,8339,13,,1,1135,1132,3,,
Alex Alvarez,8053,90,8053,8587,2724,4333,3612,4552,4035,1599,1124,770,7722,95,712,75,7,104,7689,7682,,,2,1513,1513,,,
Alex Zaragoza,6378,2,6378,7303,6961,2379,4080,2527,4776,2596,4365,784,6429,90,20,177,4,281,6820,6779,41,,,3720,3704,16,,
Julie Morse,4546,16,4546,5268,6553,4383,424,4710,558,5993,559,741,4305,222,4800,11,7,392,36,35,1,,,7,7,,,
Jacquelinne Mejia,2783,42,2783,3188,2659,1271,1507,1412,1776,1140,1519,365,2784,39,342,42,5,165,2612,2610,,,2,871,871,,,
Kris Fortin,1825,4,1825,2063,1470,522,1294,559,1504,428,1042,188,1844,31,,79,3,59,1922,1922,,,,1805,1805,,,
Vanessa Gonzalez,1770,17,1770,2011,1166,1256,553,1309,702,786,379,112,1884,15,96,16,,107,1792,1792,,,,324,324,,,
Wendy Barba,1610,125,1610,1817,712,1131,511,1240,577,580,131,269,1509,39,512,115,21,129,1040,997,4,,29,1650,1649,,,1
mitú Staff,934,80,934,1146,575,806,165,934,212,505,69,192,935,19,471,76,1,113,465,434,3,,28,26,25,1,,
Nina Concepcion,884,48,884,1009,925,822,82,893,116,841,84,284,692,33,821,49,4,77,37,37,,,,,,,,
Kelly Maclean,826,68,826,986,609,763,88,848,138,539,69,247,695,44,618,109,7,114,120,115,1,,4,3,3,,,
Elisa Osegueda,603,54,603,728,461,540,82,606,122,411,49,195,497,36,474,64,8,54,126,125,,,1,20,20,,,
Trilce Ortiz,535,62,535,621,599,497,53,539,82,549,49,191,402,28,417,74,4,51,75,73,1,,1,4,4,,,
Jessica Roiz,484,32,484,606,420,387,119,450,156,371,49,88,504,14,268,21,3,31,283,281,1,,,44,43,1,,
Joseph Crosby,451,4,451,484,300,441,20,448,36,288,12,151,315,18,414,9,4,50,7,7,,,,,,,,
mitumixadmin,425,5,425,647,372,304,135,418,229,259,112,352,286,9,12,605,1,24,5,5,,,,,,,,
Fidel Martinez,327,53,327,395,155,266,71,293,102,137,18,99,295,1,147,30,,36,182,182,,,,23,21,,2,
Christine Bolaños,300,2,300,387,243,180,126,199,188,146,97,63,315,9,3,35,13,46,272,264,8,,,89,88,1,,
Regina Castañeda,269,10,269,314,393,246,32,275,39,355,38,72,228,14,220,23,4,33,34,34,,,,2,2,,,
Jason Marcus,218,59,218,346,268,175,47,238,108,167,101,144,195,7,65,95,2,65,119,119,,,,16,16,,,
Daniela Cabrera,190,20,190,233,146,130,61,151,82,99,47,68,159,6,41,61,,23,103,103,,,,3,3,,,
Felipe Torres Medina,135,1,135,153,44,80,57,91,62,35,8.8,17,134,2,23,1,5,1,123,123,,,,1,1,,,
Nathalie Martinez,115,9,115,125,95,99,19,105,20,82,12,29,88,8,33,16,2,8,66,19,,,47,80,2,,,78
Annie Leal,94,7,94,104,121,92,8,94,10,120,0.6,10,92,2,94,2,,6,2,2,,,,,,,,
Gilberto Manzano,62,8,62,68,80,58,7,61,7,77,2.4,24,44,,64,2,,1,1,1,,,,,,,,
Natalie Barba,53,5,53,65,74,27,27,29,36,25,48,19,45,1,19,42,,3,1,1,,,,,,,,
Daisy Rodriguez,27,5,27,31,23,19,9,19,12,17,5.8,16,11,4,7,5,,11,8,8,,,,,,,,
Roxana Colaiaco,26,7,26,26,28,21,5,21,5,22,5.8,12,13,1,23,2,,,1,1,,,,,,,,
Chano Garcia,23,8,23,40,18,17,6,21,19,14,4.5,27,12,1,13,4,,10,,,,,,,,,,
Ruby Marez,23,4,23,24,22,23,,24,,21,0.7,7,17,,20,2,,1,1,1,,,,,,,,
Daniel Morales,21,2,21,28,29,17,8,20,8,26,3.3,16,12,,26,1,,,1,1,,,,,,,,
Erika Ramirez,18,3,18,24,20,14,4,20,4,16,3.9,4,18,2,14,2,,4,4,4,,,,,,,,
Karen Anzoategui,17,4,17,17,14,15,2,15,2,12,1.4,5,12,,17,,,,,,,,,,,,,
Prisca Dorcas Mojica Rodriguez,14,2,14,15,7.7,13,1,13,2,5.2,2.5,10,5,,5,1,,3,6,6,,,,,,,,
Carla Carvajal,13,5,13,13,10,13,,13,,10,,5,8,,12,,,1,,,,,,,,,,
Alejandra Garcia,13,9,13,14,5.6,10,4,10,4,4.6,1,5,9,,4,5,,1,4,4,,,,,,,,
Jenni Villareal,12,2,12,13,15,12,,13,,13,1.4,3,10,,12,,,,1,1,,,,,,,,
Maria Sherman,11,2,11,14,18,6,7,6,8,8.5,10,7,7,,5,5,,2,2,2,,,,,,,,
Cindy Garcia,9,1,9,10,7.4,8,1,9,1,7.1,0.3,5,5,,8,2,,,,,,,,,,,,
Sydney Presley,6,3,6,7,1.3,5,1,5,2,1,0.3,6,1,,1,2,,2,2,2,,,,,,,,
Lanae Brody,5,1,5,5,4.1,5,,5,,4.1,,,4,1,2,2,,,1,1,,,,,,,,
Ana Chio,4,6,4,14,3.9,1,3,1,13,0.1,3.7,14,,,,14,,,,,,,,,,,,
Henry Pacheco,4,3,4,4,0.8,4,,4,,0.8,,3,1,,3,,,,1,1,,,,,,,,
