post_id,u_fem,u_mal,t_fem,t_mal,tags,ff_co,fm_co,mf_co,mm_co,frd_co,latino,non_latino,trigram1,freq_t1,trigram2,freq_t2,trigram3,freq_t3,trigram4,freq_t4,trigram5,freq_t5,neg_avg,pos_avg,neu_avg,ss_comments,fem_ss,mal_ss,lat_ss,nlat_ss
1405630409737397_1597124020588034,214,93,16,4,20,13,2,3,2,3,204,103,I don t,30,don t see,10,I m not,9,a Selena shirt,9,have to be,7,0.154237785,0.126641694,0.706110749,-0.063475104,-0.006891813,-0.2017,-0.076752288,-0.040390909
1405630409737397_1596918013941968,375,135,181,115,296,128,86,53,29,64,338,172,thought it wa,11,in the car,10,I thought it,9,it wa just,9,napkin in my,8,0.022919608,0.117201961,0.859882353,0.383822581,0.368292593,0.424931373,0.423947788,0.321710959
1405630409737397_1596917060608730,37,11,28,8,36,21,6,7,2,1,30,18,don t know,2,t know about,2,they don t,2,Ana Lopez Dots,1,Punk PinupLittleBit wa,1,0.028,0.061166667,0.910833333,0.2486,0.196728571,0.43015,0.276442857,0.15115
1405630409737397_1597098397257263,29,44,6,8,14,5,6,1,2,1,54,19,while you are,3,que ser entre,2,We are mitÃº,2,que el matrimonio,2,lo estÃ¡n haciendo,2,0.155863014,0.082178082,0.734534247,-0.174611905,0.096608333,-0.2831,-0.13890303,-0.305544444
1405630409737397_1597075103926259,33,10,17,13,30,14,10,3,3,0,29,14,the running man,3,is not the,2,not the running,2,to ruin all,1,I m good,1,0.051162791,0.106697674,0.818883721,0.192453333,0.13051,0.31634,0.108522222,0.31835
1405630409737397_1596917697275333,203,44,140,33,173,119,28,21,5,60,186,61,the first one,3,let me tell,2,I wa mad,2,posting pic of,2,this is u,2,0.005465587,0.092526316,0.897963563,0.476844898,0.5223075,0.274788889,0.5148775,0.307811111
1405630409737397_1597004320600004,15,4,3,2,5,2,2,1,0,0,13,6,sick that thus,1,I m glad,1,block away from,1,locked up Jannet,1,up Jannet Herrera,1,0.175,0.098368421,0.674,-0.179327273,-0.338675,0.2456,-0.039085714,-0.42475
1405630409737397_1596916930608743,15,10,1,1,2,1,0,0,1,1,20,5,http youtu be,4,Mexicans who hate,3,youtu be 3e6ChgL1EC4,2,who don t,2,hate themselfs for,2,0.1202,0.05796,0.82184,-0.103473333,-0.045627273,-0.26255,-0.069014286,-0.5859
1405630409737397_1596873203946449,21,11,5,4,9,4,3,1,1,0,20,12,rice and bean,2,tomato rice and,1,Frijoles de igual,1,it called menstra,1,Hell yeah we,1,0.02684375,0.11875,0.7919375,0.380330769,0.472188889,0.17365,0.352788889,0.4423
1405630409737397_1596641050636331,35,12,29,3,32,22,2,7,1,2,24,23,but my eyebrow,2,so much Celene,1,than the right,1,forehead Ciara Page,1,about plucking thwm,1,0.019042553,0.144638298,0.836297872,0.420270588,0.432491667,0.39094,0.5387625,0.314944444
1405630409737397_1596512517315851,29,13,17,3,20,13,2,4,1,3,24,18,I don t,2,don t do,2,with this crap,2,Edrington Nashlin Ryan,1,stop Mitu is,1,0.065619048,0.203,0.70752381,0.265790909,0.2652,0.267366667,0.10098,0.403133333
1405630409737397_1596516047315498,76,29,51,14,65,37,9,14,5,24,81,24,one am I,2,I m the,2,a the sweet,2,the sweet Tia,2,My mom is,2,0.008371429,0.139,0.81452381,0.545173171,0.551775758,0.5179375,0.546516667,0.541509091
1405630409737397_1596519647315138,93,65,20,13,33,14,6,6,7,3,116,42,All of the,4,of the above,4,I don t,3,Mexican and I,3,for their preparation,2,0.041316456,0.107601266,0.83843038,0.28307069,0.274578788,0.29428,0.292692683,0.259864706
1405630409737397_1596510483982721,31,10,15,9,24,11,7,4,2,4,31,10,Paoly Marroquin Ruiz,2,is no more,1,for his father,1,Peluda and el,1,los va a,1,0.028121951,0.039731707,0.932170732,0.210344444,0.210344444,nan,-0.13202,0.6383
1405630409737397_1596484273985342,18,23,8,5,13,6,3,2,2,2,30,11,need to be,2,He ll yeah,2,to be president,2,Machete need to,2,thug we won,1,0.042146341,0.126487805,0.782609756,0.17245,0.49405,-0.14915,0.113633333,0.3489
