"status_id","date","post_type","from_name","link_clicks","post_reach","post_reach_viral","post_video_views","total_comments","total_likes","total_shares"
"1405630409737397_1806900426277058",2017-08-02,"video","We are mitu",64,363141,11768,124999,86,697,96
"1405630409737397_1807960972837670",2017-08-03,"photo","We are mitu",82,660085,170213,0,4679,7298,1409
"1405630409737397_1807961212837646",2017-08-01,"photo","We are mitu",50,465886,135881,0,2183,10054,1503
"1405630409737397_1807961379504296",2017-08-01,"photo","We are mitu",98,1221341,597315,0,6493,29516,4338
"1405630409737397_1809285929371841",2017-08-01,"video","We are mitu",83,652964,120110,223565,3153,6447,1110
"1405630409737397_1809399752693792",2017-08-02,"video","We are mitu",149,971322,333870,282764,7809,15833,3241
"1405630409737397_1809406289359805",2017-08-03,"video","We are mitu",43,871390,298539,294810,1251,16381,2869
"1405630409737397_1809421596024941",2017-08-01,"video","We are mitu",34,227218,9649,67029,509,1142,159
"1405630409737397_1809428986024202",2017-08-01,"photo","We are mitu",99,423930,90706,0,2242,6158,504
"1405630409737397_1809685749331859",2017-08-01,"link","We are mitu",1110,109264,4349,7,39,483,56
"1405630409737397_1809737862659981",2017-08-01,"link","We are mitu",1441,118379,5497,87,102,250,45
"1405630409737397_1809776025989498",2017-08-01,"link","We are mitu",2117,111293,445,8,20,55,5
"1405630409737397_1809801905986910",2017-08-02,"photo","We are mitu",67,792705,301573,0,4688,21011,3213
"1405630409737397_1809819345985166",2017-08-01,"video","We are mitu",244,259116,5934,73110,36,913,0
"1405630409737397_1809829449317489",2017-08-02,"link","We are mitu",6722,270769,32370,155,922,1065,161
"1405630409737397_1809837445983356",2017-08-01,"link","We are mitu",441,35563,359,154,3,132,16
"1405630409737397_1809839489316485",2017-08-01,"photo","We are mitu",175,994104,332887,0,10854,12742,1643
"1405630409737397_1809840142649753",2017-08-01,"photo","We are mitu",19,285700,52169,0,748,4588,591
"1405630409737397_1809840749316359",2017-08-01,"photo","We are mitu",49,599082,200762,0,3441,13776,1492
